Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	591.540664063	591.541997396	38000.000	81000.000	1.0000
1	Spectrogram 1	1	591.540664063	591.541997396	38000.000	81000.000	1.0000
2	Waveform 1	1	591.855997396	591.857330729	38000.000	81000.000	1.0000
2	Spectrogram 1	1	591.855997396	591.857330729	38000.000	81000.000	1.0000
3	Waveform 1	1	592.379330729	592.380664063	38000.000	81000.000	1.0000
3	Spectrogram 1	1	592.379330729	592.380664063	38000.000	81000.000	1.0000
4	Waveform 1	1	592.593997396	592.595997396	38000.000	81000.000	1.0000
4	Spectrogram 1	1	592.593997396	592.595997396	38000.000	81000.000	1.0000
5	Waveform 1	1	592.905997396	592.907997396	38000.000	81000.000	0.6667
5	Spectrogram 1	1	592.905997396	592.907997396	38000.000	81000.000	0.6667
6	Waveform 1	1	593.305997396	593.307330729	38000.000	81000.000	1.0000
6	Spectrogram 1	1	593.305997396	593.307330729	38000.000	81000.000	1.0000
7	Waveform 1	1	593.615997396	593.618664063	38000.000	81000.000	0.7500
7	Spectrogram 1	1	593.615997396	593.618664063	38000.000	81000.000	0.7500
8	Waveform 1	1	594.472664063	594.473997396	38000.000	81000.000	1.0000
8	Spectrogram 1	1	594.472664063	594.473997396	38000.000	81000.000	1.0000
9	Waveform 1	1	594.546664063	594.547997396	38000.000	81000.000	1.0000
9	Spectrogram 1	1	594.546664063	594.547997396	38000.000	81000.000	1.0000
10	Waveform 1	1	595.233997396	595.235997396	38000.000	81000.000	0.6667
10	Spectrogram 1	1	595.233997396	595.235997396	38000.000	81000.000	0.6667
11	Waveform 1	1	601.270664063	601.276664063	38000.000	81000.000	0.3333
11	Spectrogram 1	1	601.270664063	601.276664063	38000.000	81000.000	0.3333
12	Waveform 1	1	601.734664063	601.736664063	38000.000	81000.000	1.0000
12	Spectrogram 1	1	601.734664063	601.736664063	38000.000	81000.000	1.0000
13	Waveform 1	1	602.095997396	602.105997396	38000.000	81000.000	0.3333
13	Spectrogram 1	1	602.095997396	602.105997396	38000.000	81000.000	0.3333
14	Waveform 1	1	602.280664063	602.281997396	38000.000	81000.000	1.0000
14	Spectrogram 1	1	602.280664063	602.281997396	38000.000	81000.000	1.0000
15	Waveform 1	1	602.459330729	602.469997396	38000.000	81000.000	0.4375
15	Spectrogram 1	1	602.459330729	602.469997396	38000.000	81000.000	0.4375
16	Waveform 1	1	602.560664062	602.562664063	38000.000	81000.000	1.0000
16	Spectrogram 1	1	602.560664062	602.562664063	38000.000	81000.000	1.0000
17	Waveform 1	1	602.737997396	602.750664063	38000.000	81000.000	0.4737
17	Spectrogram 1	1	602.737997396	602.750664063	38000.000	81000.000	0.4737
18	Waveform 1	1	603.011997396	603.022664063	38000.000	81000.000	0.3125
18	Spectrogram 1	1	603.011997396	603.022664063	38000.000	81000.000	0.3125
19	Waveform 1	1	603.287330729	603.300664063	38000.000	81000.000	0.3500
19	Spectrogram 1	1	603.287330729	603.300664063	38000.000	81000.000	0.3500
20	Waveform 1	1	603.474664063	603.487330729	38000.000	81000.000	0.5263
20	Spectrogram 1	1	603.474664063	603.487330729	38000.000	81000.000	0.5263
21	Waveform 1	1	603.569330729	603.586664063	38000.000	81000.000	0.2308
21	Spectrogram 1	1	603.569330729	603.586664063	38000.000	81000.000	0.2308
22	Waveform 1	1	603.849330729	603.856664063	38000.000	81000.000	0.4545
22	Spectrogram 1	1	603.849330729	603.856664063	38000.000	81000.000	0.4545
23	Waveform 1	1	604.131330729	604.138664063	38000.000	81000.000	0.6364
23	Spectrogram 1	1	604.131330729	604.138664063	38000.000	81000.000	0.6364
24	Waveform 1	1	604.407330729	604.417330729	38000.000	81000.000	0.4000
24	Spectrogram 1	1	604.407330729	604.417330729	38000.000	81000.000	0.4000
25	Waveform 1	1	604.683997396	604.689997396	38000.000	81000.000	0.3333
25	Spectrogram 1	1	604.683997396	604.689997396	38000.000	81000.000	0.3333
26	Waveform 1	1	604.962664063	604.964664063	38000.000	81000.000	1.0000
26	Spectrogram 1	1	604.962664063	604.964664063	38000.000	81000.000	1.0000
27	Waveform 1	1	605.890664063	605.892664063	38000.000	81000.000	1.0000
27	Spectrogram 1	1	605.890664063	605.892664063	38000.000	81000.000	1.0000
28	Waveform 1	1	653.296664063	653.297997396	38000.000	81000.000	1.0000
28	Spectrogram 1	1	653.296664063	653.297997396	38000.000	81000.000	1.0000
29	Waveform 1	1	653.501997396	653.516664063	38000.000	81000.000	0.2727
29	Spectrogram 1	1	653.501997396	653.516664063	38000.000	81000.000	0.2727
30	Waveform 1	1	653.585997396	653.587330729	38000.000	81000.000	1.0000
30	Spectrogram 1	1	653.585997396	653.587330729	38000.000	81000.000	1.0000
31	Waveform 1	1	653.683330729	653.684664063	38000.000	81000.000	1.0000
31	Spectrogram 1	1	653.683330729	653.684664063	38000.000	81000.000	1.0000
32	Waveform 1	1	653.795997396	653.797330729	38000.000	81000.000	1.0000
32	Spectrogram 1	1	653.795997396	653.797330729	38000.000	81000.000	1.0000
33	Waveform 1	1	870.948664063	870.949997396	38000.000	81000.000	1.0000
33	Spectrogram 1	1	870.948664063	870.949997396	38000.000	81000.000	1.0000
34	Waveform 1	1	871.471997396	871.481330729	38000.000	81000.000	0.7143
34	Spectrogram 1	1	871.471997396	871.481330729	38000.000	81000.000	0.7143
35	Waveform 1	1	871.569997396	871.573330729	38000.000	81000.000	1.0000
35	Spectrogram 1	1	871.569997396	871.573330729	38000.000	81000.000	1.0000
36	Waveform 1	1	871.662664063	871.676664063	38000.000	81000.000	0.7619
36	Spectrogram 1	1	871.662664063	871.676664063	38000.000	81000.000	0.7619
37	Waveform 1	1	871.753997396	871.765330729	38000.000	81000.000	0.7647
37	Spectrogram 1	1	871.753997396	871.765330729	38000.000	81000.000	0.7647
38	Waveform 1	1	871.849330729	871.868664063	38000.000	81000.000	0.9655
38	Spectrogram 1	1	871.849330729	871.868664063	38000.000	81000.000	0.9655
39	Waveform 1	1	871.943330729	871.962664063	38000.000	81000.000	0.9655
39	Spectrogram 1	1	871.943330729	871.962664063	38000.000	81000.000	0.9655
40	Waveform 1	1	872.037997396	872.057330729	38000.000	81000.000	0.9310
40	Spectrogram 1	1	872.037997396	872.057330729	38000.000	81000.000	0.9310
41	Waveform 1	1	872.130664063	872.149997396	38000.000	81000.000	0.6552
41	Spectrogram 1	1	872.130664063	872.149997396	38000.000	81000.000	0.6552
42	Waveform 1	1	872.203997396	872.219997396	38000.000	81000.000	0.8750
42	Spectrogram 1	1	872.203997396	872.219997396	38000.000	81000.000	0.8750
43	Waveform 1	1	872.289997396	872.309997396	38000.000	81000.000	0.9000
43	Spectrogram 1	1	872.289997396	872.309997396	38000.000	81000.000	0.9000
44	Waveform 1	1	872.383997396	872.405997396	38000.000	81000.000	0.8182
44	Spectrogram 1	1	872.383997396	872.405997396	38000.000	81000.000	0.8182
45	Waveform 1	1	872.479997396	872.491330729	38000.000	81000.000	0.7647
45	Spectrogram 1	1	872.479997396	872.491330729	38000.000	81000.000	0.7647
46	Waveform 1	1	872.564664063	872.582664063	38000.000	81000.000	0.8889
46	Spectrogram 1	1	872.564664063	872.582664063	38000.000	81000.000	0.8889
47	Waveform 1	1	872.653330729	872.679997396	38000.000	81000.000	0.7500
47	Spectrogram 1	1	872.653330729	872.679997396	38000.000	81000.000	0.7500
48	Waveform 1	1	872.726664063	872.744664063	38000.000	81000.000	0.9259
48	Spectrogram 1	1	872.726664063	872.744664063	38000.000	81000.000	0.9259
49	Waveform 1	1	872.851330729	872.881330729	38000.000	81000.000	0.6444
49	Spectrogram 1	1	872.851330729	872.881330729	38000.000	81000.000	0.6444
50	Waveform 1	1	872.938664063	872.960664063	38000.000	81000.000	0.8485
50	Spectrogram 1	1	872.938664063	872.960664063	38000.000	81000.000	0.8485
51	Waveform 1	1	873.027330729	873.049997396	38000.000	81000.000	0.8824
51	Spectrogram 1	1	873.027330729	873.049997396	38000.000	81000.000	0.8824
52	Waveform 1	1	873.092664063	873.112664063	38000.000	81000.000	0.9333
52	Spectrogram 1	1	873.092664063	873.112664063	38000.000	81000.000	0.9333
53	Waveform 1	1	873.171330729	873.191330729	38000.000	81000.000	1.0000
53	Spectrogram 1	1	873.171330729	873.191330729	38000.000	81000.000	1.0000
54	Waveform 1	1	873.234664063	873.251330729	38000.000	81000.000	0.8800
54	Spectrogram 1	1	873.234664063	873.251330729	38000.000	81000.000	0.8800
55	Waveform 1	1	873.325330729	873.344664063	38000.000	81000.000	0.9310
55	Spectrogram 1	1	873.325330729	873.344664063	38000.000	81000.000	0.9310
56	Waveform 1	1	873.381997396	873.394664063	38000.000	81000.000	0.7368
56	Spectrogram 1	1	873.381997396	873.394664063	38000.000	81000.000	0.7368
57	Waveform 1	1	873.447330729	873.465997396	38000.000	81000.000	0.9286
57	Spectrogram 1	1	873.447330729	873.465997396	38000.000	81000.000	0.9286
58	Waveform 1	1	873.499997396	873.505997396	38000.000	81000.000	0.2222
58	Spectrogram 1	1	873.499997396	873.505997396	38000.000	81000.000	0.2222
59	Waveform 1	1	873.554664063	873.558664063	38000.000	81000.000	0.6667
59	Spectrogram 1	1	873.554664063	873.558664063	38000.000	81000.000	0.6667
60	Waveform 1	1	873.615997396	873.621997396	38000.000	81000.000	0.4444
60	Spectrogram 1	1	873.615997396	873.621997396	38000.000	81000.000	0.4444
61	Waveform 1	1	873.704664063	873.718664063	38000.000	81000.000	0.9524
61	Spectrogram 1	1	873.704664063	873.718664063	38000.000	81000.000	0.9524
62	Waveform 1	1	873.815997396	873.828664063	38000.000	81000.000	0.6316
62	Spectrogram 1	1	873.815997396	873.828664063	38000.000	81000.000	0.6316
63	Waveform 1	1	873.982664063	873.991997396	38000.000	81000.000	0.9286
63	Spectrogram 1	1	873.982664063	873.991997396	38000.000	81000.000	0.9286
64	Waveform 1	1	874.033330729	874.035330729	38000.000	81000.000	1.0000
