Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	798.301330729	798.309997396	22000.000	38000.000	0.3846
1	Spectrogram 1	1	798.301330729	798.309997396	22000.000	38000.000	0.3846
2	Waveform 1	1	799.229330729	799.249330729	22000.000	38000.000	0.1667
2	Spectrogram 1	1	799.229330729	799.249330729	22000.000	38000.000	0.1667
3	Waveform 1	1	799.788664063	799.817997396	22000.000	38000.000	0.1364
3	Spectrogram 1	1	799.788664063	799.817997396	22000.000	38000.000	0.1364
4	Waveform 1	1	800.042664063	800.055330729	22000.000	38000.000	0.1053
4	Spectrogram 1	1	800.042664063	800.055330729	22000.000	38000.000	0.1053
5	Waveform 1	1	800.313330729	800.314664063	22000.000	38000.000	1.0000
5	Spectrogram 1	1	800.313330729	800.314664063	22000.000	38000.000	1.0000
6	Waveform 1	1	800.695997396	800.726664063	22000.000	38000.000	0.1739
6	Spectrogram 1	1	800.695997396	800.726664063	22000.000	38000.000	0.1739
7	Waveform 1	1	801.087997396	801.121997396	22000.000	38000.000	0.1765
7	Spectrogram 1	1	801.087997396	801.121997396	22000.000	38000.000	0.1765
8	Waveform 1	1	801.379330729	801.407997396	22000.000	38000.000	0.3256
8	Spectrogram 1	1	801.379330729	801.407997396	22000.000	38000.000	0.3256
9	Waveform 1	1	801.786664062	801.808664063	22000.000	38000.000	0.1212
9	Spectrogram 1	1	801.786664062	801.808664063	22000.000	38000.000	0.1212
10	Waveform 1	1	802.063330729	802.114664063	22000.000	38000.000	0.1429
10	Spectrogram 1	1	802.063330729	802.114664063	22000.000	38000.000	0.1429
11	Waveform 1	1	802.458664063	802.524664063	22000.000	38000.000	0.1515
11	Spectrogram 1	1	802.458664063	802.524664063	22000.000	38000.000	0.1515
12	Waveform 1	1	803.129997396	803.173997396	22000.000	38000.000	0.1970
12	Spectrogram 1	1	803.129997396	803.173997396	22000.000	38000.000	0.1970
13	Waveform 1	1	803.397997396	803.451997396	22000.000	38000.000	0.0741
13	Spectrogram 1	1	803.397997396	803.451997396	22000.000	38000.000	0.0741
14	Waveform 1	1	803.678664063	803.707997396	22000.000	38000.000	0.0909
14	Spectrogram 1	1	803.678664063	803.707997396	22000.000	38000.000	0.0909
15	Waveform 1	1	804.074664063	804.117330729	22000.000	38000.000	0.0938
15	Spectrogram 1	1	804.074664063	804.117330729	22000.000	38000.000	0.0938
16	Waveform 1	1	804.750664063	804.781330729	22000.000	38000.000	0.1957
16	Spectrogram 1	1	804.750664063	804.781330729	22000.000	38000.000	0.1957
17	Waveform 1	1	805.015330729	805.088664063	22000.000	38000.000	0.1364
17	Spectrogram 1	1	805.015330729	805.088664063	22000.000	38000.000	0.1364
18	Waveform 1	1	805.299330729	805.345330729	22000.000	38000.000	0.1449
18	Spectrogram 1	1	805.299330729	805.345330729	22000.000	38000.000	0.1449
19	Waveform 1	1	805.703330729	805.763330729	22000.000	38000.000	0.1222
19	Spectrogram 1	1	805.703330729	805.763330729	22000.000	38000.000	0.1222
20	Waveform 1	1	806.139330729	806.150664063	22000.000	38000.000	0.2941
20	Spectrogram 1	1	806.139330729	806.150664063	22000.000	38000.000	0.2941
21	Waveform 1	1	806.417997396	806.474664063	22000.000	38000.000	0.0706
21	Spectrogram 1	1	806.417997396	806.474664063	22000.000	38000.000	0.0706
22	Waveform 1	1	806.831997396	806.863330729	22000.000	38000.000	0.0851
22	Spectrogram 1	1	806.831997396	806.863330729	22000.000	38000.000	0.0851
23	Waveform 1	1	807.923330729	807.966664063	22000.000	38000.000	0.0923
23	Spectrogram 1	1	807.923330729	807.966664063	22000.000	38000.000	0.0923
24	Waveform 1	1	808.341997396	808.368664063	22000.000	38000.000	0.1500
24	Spectrogram 1	1	808.341997396	808.368664063	22000.000	38000.000	0.1500
25	Waveform 1	1	808.870664063	808.919997396	22000.000	38000.000	0.0946
25	Spectrogram 1	1	808.870664063	808.919997396	22000.000	38000.000	0.0946
26	Waveform 1	1	809.301330729	809.321330729	22000.000	38000.000	0.3333
26	Spectrogram 1	1	809.301330729	809.321330729	22000.000	38000.000	0.3333
27	Waveform 1	1	809.721997396	809.727997396	22000.000	38000.000	0.3333
27	Spectrogram 1	1	809.721997396	809.727997396	22000.000	38000.000	0.3333
28	Waveform 1	1	810.131997396	810.137330729	22000.000	38000.000	0.6250
28	Spectrogram 1	1	810.131997396	810.137330729	22000.000	38000.000	0.6250
29	Waveform 1	1	810.411330729	810.429997396	22000.000	38000.000	0.1071
29	Spectrogram 1	1	810.411330729	810.429997396	22000.000	38000.000	0.1071
30	Waveform 1	1	811.123330729	811.129330729	22000.000	38000.000	0.4444
30	Spectrogram 1	1	811.123330729	811.129330729	22000.000	38000.000	0.4444
31	Waveform 1	1	1271.193330729	1271.195997396	22000.000	38000.000	0.7500
31	Spectrogram 1	1	1271.193330729	1271.195997396	22000.000	38000.000	0.7500
32	Waveform 1	1	1272.005997396	1272.010664062	22000.000	38000.000	0.2857
32	Spectrogram 1	1	1272.005997396	1272.010664062	22000.000	38000.000	0.2857
33	Waveform 1	1	1272.785330729	1272.790664062	22000.000	38000.000	0.2500
33	Spectrogram 1	1	1272.785330729	1272.790664062	22000.000	38000.000	0.2500
34	Waveform 1	1	1273.055330729	1273.059997396	22000.000	38000.000	0.4286
34	Spectrogram 1	1	1273.055330729	1273.059997396	22000.000	38000.000	0.4286
35	Waveform 1	1	1273.433330729	1273.445330729	22000.000	38000.000	0.2222
35	Spectrogram 1	1	1273.433330729	1273.445330729	22000.000	38000.000	0.2222
36	Waveform 1	1	1274.350664062	1274.365997396	22000.000	38000.000	0.1304
36	Spectrogram 1	1	1274.350664062	1274.365997396	22000.000	38000.000	0.1304
37	Waveform 1	1	1274.619997396	1274.639997396	22000.000	38000.000	0.1333
37	Spectrogram 1	1	1274.619997396	1274.639997396	22000.000	38000.000	0.1333
38	Waveform 1	1	1277.012664062	1277.035997396	22000.000	38000.000	0.2000
38	Spectrogram 1	1	1277.012664062	1277.035997396	22000.000	38000.000	0.2000
39	Waveform 1	1	1278.617997396	1278.626664062	22000.000	38000.000	0.3077
39	Spectrogram 1	1	1278.617997396	1278.626664062	22000.000	38000.000	0.3077
40	Waveform 1	1	1279.275330729	1279.285997396	22000.000	38000.000	0.1250
40	Spectrogram 1	1	1279.275330729	1279.285997396	22000.000	38000.000	0.1250
41	Waveform 1	1	1680.420664063	1680.425330729	22000.000	38000.000	0.5714
41	Spectrogram 1	1	1680.420664063	1680.425330729	22000.000	38000.000	0.5714
42	Waveform 1	1	1681.068664062	1681.073997396	22000.000	38000.000	0.5000
42	Spectrogram 1	1	1681.068664062	1681.073997396	22000.000	38000.000	0.5000
43	Waveform 1	1	1681.373330729	1681.374664062	22000.000	38000.000	1.0000
43	Spectrogram 1	1	1681.373330729	1681.374664062	22000.000	38000.000	1.0000
44	Waveform 1	1	1681.977330729	1681.978664063	22000.000	38000.000	1.0000
44	Spectrogram 1	1	1681.977330729	1681.978664063	22000.000	38000.000	1.0000
45	Waveform 1	1	1683.232664062	1683.237997396	22000.000	38000.000	0.3750
45	Spectrogram 1	1	1683.232664062	1683.237997396	22000.000	38000.000	0.3750
46	Waveform 1	1	1684.415997396	1684.418664062	22000.000	38000.000	0.5000
46	Spectrogram 1	1	1684.415997396	1684.418664062	22000.000	38000.000	0.5000
