Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	1.793022000	1.795582000	22000.000	38000.000	1.0000
1	Spectrogram 1	1	1.793022000	1.795582000	22000.000	38000.000	1.0000
2	Waveform 1	1	25.141246000	25.159678000	22000.000	38000.000	0.1111
2	Spectrogram 1	1	25.141246000	25.159678000	22000.000	38000.000	0.1111
3	Waveform 1	1	26.023422000	26.031614000	22000.000	38000.000	0.3750
3	Spectrogram 1	1	26.023422000	26.031614000	22000.000	38000.000	0.3750
4	Waveform 1	1	26.914814000	26.927102000	22000.000	38000.000	0.1667
4	Spectrogram 1	1	26.914814000	26.927102000	22000.000	38000.000	0.1667
5	Waveform 1	1	27.693566000	27.710974000	22000.000	38000.000	0.4118
5	Spectrogram 1	1	27.693566000	27.710974000	22000.000	38000.000	0.4118
6	Waveform 1	1	28.584958000	28.594686000	22000.000	38000.000	0.4737
6	Spectrogram 1	1	28.584958000	28.594686000	22000.000	38000.000	0.4737
7	Waveform 1	1	240.417278000	240.425982000	22000.000	38000.000	0.5294
7	Spectrogram 1	1	240.417278000	240.425982000	22000.000	38000.000	0.5294
8	Waveform 1	1	241.336830000	241.339902000	22000.000	38000.000	0.3333
8	Spectrogram 1	1	241.336830000	241.339902000	22000.000	38000.000	0.3333
9	Waveform 1	1	242.508286000	242.521598000	22000.000	38000.000	0.9231
9	Spectrogram 1	1	242.508286000	242.521598000	22000.000	38000.000	0.9231
10	Waveform 1	1	245.488638000	245.498366000	22000.000	38000.000	0.4211
10	Spectrogram 1	1	245.488638000	245.498366000	22000.000	38000.000	0.4211
11	Waveform 1	1	246.935550000	246.945790000	22000.000	38000.000	0.8000
11	Spectrogram 1	1	246.935550000	246.945790000	22000.000	38000.000	0.8000
12	Waveform 1	1	247.300606000	247.303166000	22000.000	38000.000	0.6000
12	Spectrogram 1	1	247.300606000	247.303166000	22000.000	38000.000	0.6000
13	Waveform 1	1	249.088510000	249.089534000	22000.000	38000.000	1.0000
13	Spectrogram 1	1	249.088510000	249.089534000	22000.000	38000.000	1.0000
