Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	613.684664063	613.686664063	38000.000	81000.000	0.6667
1	Spectrogram 1	1	613.684664063	613.686664063	38000.000	81000.000	0.6667
2	Waveform 1	1	723.709330729	723.717330729	38000.000	81000.000	0.2500
2	Spectrogram 1	1	723.709330729	723.717330729	38000.000	81000.000	0.2500
3	Waveform 1	1	724.005330729	724.006664063	38000.000	81000.000	1.0000
3	Spectrogram 1	1	724.005330729	724.006664063	38000.000	81000.000	1.0000
4	Waveform 1	1	725.975330729	725.976664063	38000.000	81000.000	1.0000
4	Spectrogram 1	1	725.975330729	725.976664063	38000.000	81000.000	1.0000
5	Waveform 1	1	814.035330729	814.037997396	38000.000	81000.000	0.5000
5	Spectrogram 1	1	814.035330729	814.037997396	38000.000	81000.000	0.5000
6	Waveform 1	1	814.261330729	814.265330729	38000.000	81000.000	0.5000
6	Spectrogram 1	1	814.261330729	814.265330729	38000.000	81000.000	0.5000
7	Waveform 1	1	814.331997396	814.335330729	38000.000	81000.000	0.4000
7	Spectrogram 1	1	814.331997396	814.335330729	38000.000	81000.000	0.4000
8	Waveform 1	1	814.395997396	814.399997396	38000.000	81000.000	0.3333
8	Spectrogram 1	1	814.395997396	814.399997396	38000.000	81000.000	0.3333
9	Waveform 1	1	814.473997396	814.477330729	38000.000	81000.000	0.4000
9	Spectrogram 1	1	814.473997396	814.477330729	38000.000	81000.000	0.4000
10	Waveform 1	1	814.511997396	814.515330729	38000.000	81000.000	0.6000
10	Spectrogram 1	1	814.511997396	814.515330729	38000.000	81000.000	0.6000
11	Waveform 1	1	814.656664062	814.661330729	38000.000	81000.000	0.4286
11	Spectrogram 1	1	814.656664062	814.661330729	38000.000	81000.000	0.4286
12	Waveform 1	1	814.694664063	814.697997396	38000.000	81000.000	0.4000
12	Spectrogram 1	1	814.694664063	814.697997396	38000.000	81000.000	0.4000
13	Waveform 1	1	814.737330729	814.740664063	38000.000	81000.000	0.6000
13	Spectrogram 1	1	814.737330729	814.740664063	38000.000	81000.000	0.6000
14	Waveform 1	1	814.821997396	814.833330729	38000.000	81000.000	0.2941
14	Spectrogram 1	1	814.821997396	814.833330729	38000.000	81000.000	0.2941
15	Waveform 1	1	814.940664063	814.944664063	38000.000	81000.000	0.5000
15	Spectrogram 1	1	814.940664063	814.944664063	38000.000	81000.000	0.5000
16	Waveform 1	1	814.973997396	814.981330729	38000.000	81000.000	0.3636
16	Spectrogram 1	1	814.973997396	814.981330729	38000.000	81000.000	0.3636
17	Waveform 1	1	815.014664063	815.021330729	38000.000	81000.000	0.5000
17	Spectrogram 1	1	815.014664063	815.021330729	38000.000	81000.000	0.5000
18	Waveform 1	1	815.049330729	815.063330729	38000.000	81000.000	0.2381
18	Spectrogram 1	1	815.049330729	815.063330729	38000.000	81000.000	0.2381
19	Waveform 1	1	815.084664062	815.089997396	38000.000	81000.000	0.3750
19	Spectrogram 1	1	815.084664062	815.089997396	38000.000	81000.000	0.3750
20	Waveform 1	1	815.127330729	815.131330729	38000.000	81000.000	0.3333
20	Spectrogram 1	1	815.127330729	815.131330729	38000.000	81000.000	0.3333
21	Waveform 1	1	815.150664063	815.169330729	38000.000	81000.000	0.2143
21	Spectrogram 1	1	815.150664063	815.169330729	38000.000	81000.000	0.2143
22	Waveform 1	1	815.245330729	815.250664063	38000.000	81000.000	0.3750
22	Spectrogram 1	1	815.245330729	815.250664063	38000.000	81000.000	0.3750
23	Waveform 1	1	815.323330729	815.347997396	38000.000	81000.000	0.2973
23	Spectrogram 1	1	815.323330729	815.347997396	38000.000	81000.000	0.2973
24	Waveform 1	1	815.372664063	815.379997396	38000.000	81000.000	0.2727
24	Spectrogram 1	1	815.372664063	815.379997396	38000.000	81000.000	0.2727
25	Waveform 1	1	815.499330729	815.500664063	38000.000	81000.000	1.0000
25	Spectrogram 1	1	815.499330729	815.500664063	38000.000	81000.000	1.0000
26	Waveform 1	1	815.531330729	815.543330729	38000.000	81000.000	0.3889
26	Spectrogram 1	1	815.531330729	815.543330729	38000.000	81000.000	0.3889
27	Waveform 1	1	815.584664062	815.586664063	38000.000	81000.000	0.6667
27	Spectrogram 1	1	815.584664062	815.586664063	38000.000	81000.000	0.6667
28	Waveform 1	1	816.103997396	816.109997396	38000.000	81000.000	0.5556
28	Spectrogram 1	1	816.103997396	816.109997396	38000.000	81000.000	0.5556
29	Waveform 1	1	838.979997396	838.981330729	38000.000	81000.000	1.0000
29	Spectrogram 1	1	838.979997396	838.981330729	38000.000	81000.000	1.0000
30	Waveform 1	1	839.467997396	839.473330729	38000.000	81000.000	0.2500
30	Spectrogram 1	1	839.467997396	839.473330729	38000.000	81000.000	0.2500
