Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	831.887358000	831.888382000	38000.000	81000.000	1.0000
1	Spectrogram 1	1	831.887358000	831.888382000	38000.000	81000.000	1.0000
2	Waveform 1	1	832.245758000	832.246782000	38000.000	81000.000	1.0000
2	Spectrogram 1	1	832.245758000	832.246782000	38000.000	81000.000	1.0000
3	Waveform 1	1	832.353278000	832.354302000	38000.000	81000.000	1.0000
3	Spectrogram 1	1	832.353278000	832.354302000	38000.000	81000.000	1.0000
4	Waveform 1	1	832.691710000	832.693246000	38000.000	81000.000	0.6667
4	Spectrogram 1	1	832.691710000	832.693246000	38000.000	81000.000	0.6667
5	Waveform 1	1	832.810494000	832.811518000	38000.000	81000.000	1.0000
5	Spectrogram 1	1	832.810494000	832.811518000	38000.000	81000.000	1.0000
6	Waveform 1	1	833.491454000	833.507838000	38000.000	81000.000	0.2500
6	Spectrogram 1	1	833.491454000	833.507838000	38000.000	81000.000	0.2500
7	Waveform 1	1	833.577470000	833.580030000	38000.000	81000.000	1.0000
7	Spectrogram 1	1	833.577470000	833.580030000	38000.000	81000.000	1.0000
8	Waveform 1	1	833.675774000	833.678334000	38000.000	81000.000	1.0000
8	Spectrogram 1	1	833.675774000	833.678334000	38000.000	81000.000	1.0000
9	Waveform 1	1	833.774078000	833.775614000	38000.000	81000.000	0.6667
9	Spectrogram 1	1	833.774078000	833.775614000	38000.000	81000.000	0.6667
10	Waveform 1	1	834.071038000	834.073086000	38000.000	81000.000	1.0000
10	Spectrogram 1	1	834.071038000	834.073086000	38000.000	81000.000	1.0000
11	Waveform 1	1	834.190846000	834.192894000	38000.000	81000.000	1.0000
11	Spectrogram 1	1	834.190846000	834.192894000	38000.000	81000.000	1.0000
12	Waveform 1	1	834.299902000	834.302462000	38000.000	81000.000	1.0000
12	Spectrogram 1	1	834.299902000	834.302462000	38000.000	81000.000	1.0000
13	Waveform 1	1	834.403838000	834.405886000	38000.000	81000.000	1.0000
13	Spectrogram 1	1	834.403838000	834.405886000	38000.000	81000.000	1.0000
14	Waveform 1	1	834.617342000	834.618878000	38000.000	81000.000	1.0000
14	Spectrogram 1	1	834.617342000	834.618878000	38000.000	81000.000	1.0000
15	Waveform 1	1	834.725886000	834.726910000	38000.000	81000.000	1.0000
15	Spectrogram 1	1	834.725886000	834.726910000	38000.000	81000.000	1.0000
16	Waveform 1	1	835.783166000	835.799550000	38000.000	81000.000	0.2188
16	Spectrogram 1	1	835.783166000	835.799550000	38000.000	81000.000	0.2188
17	Waveform 1	1	835.867646000	835.871230000	38000.000	81000.000	1.0000
17	Spectrogram 1	1	835.867646000	835.871230000	38000.000	81000.000	1.0000
18	Waveform 1	1	835.952126000	835.954686000	38000.000	81000.000	1.0000
18	Spectrogram 1	1	835.952126000	835.954686000	38000.000	81000.000	1.0000
19	Waveform 1	1	836.039166000	836.041214000	38000.000	81000.000	1.0000
19	Spectrogram 1	1	836.039166000	836.041214000	38000.000	81000.000	1.0000
20	Waveform 1	1	836.133374000	836.134910000	38000.000	81000.000	1.0000
20	Spectrogram 1	1	836.133374000	836.134910000	38000.000	81000.000	1.0000
21	Waveform 1	1	836.313086000	836.314110000	38000.000	81000.000	1.0000
21	Spectrogram 1	1	836.313086000	836.314110000	38000.000	81000.000	1.0000
22	Waveform 1	1	836.415998000	836.418046000	38000.000	81000.000	1.0000
22	Spectrogram 1	1	836.415998000	836.418046000	38000.000	81000.000	1.0000
23	Waveform 1	1	836.619774000	836.623870000	38000.000	81000.000	0.3750
23	Spectrogram 1	1	836.619774000	836.623870000	38000.000	81000.000	0.3750
24	Waveform 1	1	841.264638000	841.265662000	38000.000	81000.000	1.0000
24	Spectrogram 1	1	841.264638000	841.265662000	38000.000	81000.000	1.0000
25	Waveform 1	1	841.360382000	841.362430000	38000.000	81000.000	1.0000
25	Spectrogram 1	1	841.360382000	841.362430000	38000.000	81000.000	1.0000
26	Waveform 1	1	841.462270000	841.463294000	38000.000	81000.000	1.0000
26	Spectrogram 1	1	841.462270000	841.463294000	38000.000	81000.000	1.0000
27	Waveform 1	1	841.548798000	841.550846000	38000.000	81000.000	0.5000
27	Spectrogram 1	1	841.548798000	841.550846000	38000.000	81000.000	0.5000
28	Waveform 1	1	841.645054000	841.647102000	38000.000	81000.000	0.7500
28	Spectrogram 1	1	841.645054000	841.647102000	38000.000	81000.000	0.7500
29	Waveform 1	1	841.755134000	841.756670000	38000.000	81000.000	1.0000
29	Spectrogram 1	1	841.755134000	841.756670000	38000.000	81000.000	1.0000
30	Waveform 1	1	841.867262000	841.869822000	38000.000	81000.000	1.0000
30	Spectrogram 1	1	841.867262000	841.869822000	38000.000	81000.000	1.0000
31	Waveform 1	1	841.979902000	841.981950000	38000.000	81000.000	1.0000
31	Spectrogram 1	1	841.979902000	841.981950000	38000.000	81000.000	1.0000
32	Waveform 1	1	842.185726000	842.187262000	38000.000	81000.000	1.0000
32	Spectrogram 1	1	842.185726000	842.187262000	38000.000	81000.000	1.0000
33	Waveform 1	1	842.288638000	842.290686000	38000.000	81000.000	0.7500
33	Spectrogram 1	1	842.288638000	842.290686000	38000.000	81000.000	0.7500
