Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	7.810558000	7.811582000	22000.000	38000.000	1.0000
1	Spectrogram 1	1	7.810558000	7.811582000	22000.000	38000.000	1.0000
2	Waveform 1	1	14.306302000	14.307326000	22000.000	38000.000	1.0000
2	Spectrogram 1	1	14.306302000	14.307326000	22000.000	38000.000	1.0000
3	Waveform 1	1	35.453438000	35.457022000	22000.000	38000.000	0.2857
3	Spectrogram 1	1	35.453438000	35.457022000	22000.000	38000.000	0.2857
4	Waveform 1	1	56.355838000	56.357374000	22000.000	38000.000	0.6667
4	Spectrogram 1	1	56.355838000	56.357374000	22000.000	38000.000	0.6667
5	Waveform 1	1	228.729854000	228.730878000	22000.000	38000.000	1.0000
5	Spectrogram 1	1	228.729854000	228.730878000	22000.000	38000.000	1.0000
6	Waveform 1	1	670.355454000	670.356478000	22000.000	38000.000	1.0000
6	Spectrogram 1	1	670.355454000	670.356478000	22000.000	38000.000	1.0000
7	Waveform 1	1	686.178302000	686.199806000	22000.000	38000.000	0.1429
7	Spectrogram 1	1	686.178302000	686.199806000	22000.000	38000.000	0.1429
8	Waveform 1	1	708.314110000	708.318206000	22000.000	38000.000	0.2500
8	Spectrogram 1	1	708.314110000	708.318206000	22000.000	38000.000	0.2500
9	Waveform 1	1	722.172414000	722.173438000	22000.000	38000.000	1.0000
9	Spectrogram 1	1	722.172414000	722.173438000	22000.000	38000.000	1.0000
10	Waveform 1	1	800.501246000	800.502270000	22000.000	38000.000	1.0000
10	Spectrogram 1	1	800.501246000	800.502270000	22000.000	38000.000	1.0000
11	Waveform 1	1	1536.675326000	1536.676350000	22000.000	38000.000	1.0000
11	Spectrogram 1	1	1536.675326000	1536.676350000	22000.000	38000.000	1.0000
12	Waveform 1	1	1632.979454000	1632.993790000	22000.000	38000.000	0.4643
12	Spectrogram 1	1	1632.979454000	1632.993790000	22000.000	38000.000	0.4643
13	Waveform 1	1	1650.993150000	1650.999806000	22000.000	38000.000	0.2308
13	Spectrogram 1	1	1650.993150000	1650.999806000	22000.000	38000.000	0.2308
14	Waveform 1	1	1654.977534000	1654.982142000	22000.000	38000.000	0.2222
14	Spectrogram 1	1	1654.977534000	1654.982142000	22000.000	38000.000	0.2222
15	Waveform 1	1	1659.719678000	1659.724286000	22000.000	38000.000	0.3333
15	Spectrogram 1	1	1659.719678000	1659.724286000	22000.000	38000.000	0.3333
16	Waveform 1	1	1706.064382000	1706.065406000	22000.000	38000.000	1.0000
16	Spectrogram 1	1	1706.064382000	1706.065406000	22000.000	38000.000	1.0000
