Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	0.728664062	0.729997396	38000.000	81000.000	1.0000
1	Spectrogram 1	1	0.728664062	0.729997396	38000.000	81000.000	1.0000
2	Waveform 1	1	0.821997396	0.829330729	38000.000	81000.000	0.6364
2	Spectrogram 1	1	0.821997396	0.829330729	38000.000	81000.000	0.6364
3	Waveform 1	1	0.925330729	0.926664062	38000.000	81000.000	1.0000
3	Spectrogram 1	1	0.925330729	0.926664062	38000.000	81000.000	1.0000
4	Waveform 1	1	1.020664063	1.023330729	38000.000	81000.000	0.7500
4	Spectrogram 1	1	1.020664063	1.023330729	38000.000	81000.000	0.7500
5	Waveform 1	1	1.231330729	1.235997396	38000.000	81000.000	0.4286
5	Spectrogram 1	1	1.231330729	1.235997396	38000.000	81000.000	0.4286
6	Waveform 1	1	1.423330729	1.424664062	38000.000	81000.000	1.0000
6	Spectrogram 1	1	1.423330729	1.424664062	38000.000	81000.000	1.0000
7	Waveform 1	1	1.515997396	1.523330729	38000.000	81000.000	0.7273
7	Spectrogram 1	1	1.515997396	1.523330729	38000.000	81000.000	0.7273
8	Waveform 1	1	1.699330729	1.705997396	38000.000	81000.000	0.3000
8	Spectrogram 1	1	1.699330729	1.705997396	38000.000	81000.000	0.3000
9	Waveform 1	1	1.781330729	1.786664063	38000.000	81000.000	0.3750
9	Spectrogram 1	1	1.781330729	1.786664063	38000.000	81000.000	0.3750
10	Waveform 1	1	1.857997396	1.859330729	38000.000	81000.000	1.0000
10	Spectrogram 1	1	1.857997396	1.859330729	38000.000	81000.000	1.0000
11	Waveform 1	1	3.521330729	3.527330729	38000.000	81000.000	0.2222
11	Spectrogram 1	1	3.521330729	3.527330729	38000.000	81000.000	0.2222
12	Waveform 1	1	3.579997396	3.581330729	38000.000	81000.000	1.0000
12	Spectrogram 1	1	3.579997396	3.581330729	38000.000	81000.000	1.0000
13	Waveform 1	1	3.797997396	3.799997396	38000.000	81000.000	1.0000
13	Spectrogram 1	1	3.797997396	3.799997396	38000.000	81000.000	1.0000
14	Waveform 1	1	3.965330729	3.967330729	38000.000	81000.000	0.6667
14	Spectrogram 1	1	3.965330729	3.967330729	38000.000	81000.000	0.6667
15	Waveform 1	1	4.330664063	4.332664063	38000.000	81000.000	0.6667
15	Spectrogram 1	1	4.330664063	4.332664063	38000.000	81000.000	0.6667
16	Waveform 1	1	7.713330729	7.714664063	38000.000	81000.000	1.0000
16	Spectrogram 1	1	7.713330729	7.714664063	38000.000	81000.000	1.0000
17	Waveform 1	1	7.878664063	7.881330729	38000.000	81000.000	0.7500
17	Spectrogram 1	1	7.878664063	7.881330729	38000.000	81000.000	0.7500
18	Waveform 1	1	7.967330729	7.971997396	38000.000	81000.000	0.8571
18	Spectrogram 1	1	7.967330729	7.971997396	38000.000	81000.000	0.8571
19	Waveform 1	1	8.060664063	8.062664062	38000.000	81000.000	1.0000
19	Spectrogram 1	1	8.060664063	8.062664062	38000.000	81000.000	1.0000
20	Waveform 1	1	8.256664063	8.258664062	38000.000	81000.000	1.0000
20	Spectrogram 1	1	8.256664063	8.258664062	38000.000	81000.000	1.0000
21	Waveform 1	1	8.323997396	8.325997396	38000.000	81000.000	1.0000
21	Spectrogram 1	1	8.323997396	8.325997396	38000.000	81000.000	1.0000
22	Waveform 1	1	8.392664062	8.395330729	38000.000	81000.000	1.0000
22	Spectrogram 1	1	8.392664062	8.395330729	38000.000	81000.000	1.0000
23	Waveform 1	1	8.469330729	8.470664063	38000.000	81000.000	1.0000
23	Spectrogram 1	1	8.469330729	8.470664063	38000.000	81000.000	1.0000
24	Waveform 1	1	8.545330729	8.557997396	38000.000	81000.000	0.5263
24	Spectrogram 1	1	8.545330729	8.557997396	38000.000	81000.000	0.5263
25	Waveform 1	1	8.706664062	8.718664063	38000.000	81000.000	0.6111
25	Spectrogram 1	1	8.706664062	8.718664063	38000.000	81000.000	0.6111
26	Waveform 1	1	8.779330729	8.780664062	38000.000	81000.000	1.0000
26	Spectrogram 1	1	8.779330729	8.780664062	38000.000	81000.000	1.0000
27	Waveform 1	1	8.977330729	8.978664063	38000.000	81000.000	1.0000
27	Spectrogram 1	1	8.977330729	8.978664063	38000.000	81000.000	1.0000
28	Waveform 1	1	9.084664062	9.089330729	38000.000	81000.000	0.5714
28	Spectrogram 1	1	9.084664062	9.089330729	38000.000	81000.000	0.5714
29	Waveform 1	1	9.150664063	9.151997396	38000.000	81000.000	1.0000
29	Spectrogram 1	1	9.150664063	9.151997396	38000.000	81000.000	1.0000
30	Waveform 1	1	10.255330729	10.263997396	38000.000	81000.000	0.3077
30	Spectrogram 1	1	10.255330729	10.263997396	38000.000	81000.000	0.3077
31	Waveform 1	1	10.421330729	10.422664063	38000.000	81000.000	1.0000
31	Spectrogram 1	1	10.421330729	10.422664063	38000.000	81000.000	1.0000
32	Waveform 1	1	10.800664063	10.802664062	38000.000	81000.000	1.0000
32	Spectrogram 1	1	10.800664063	10.802664062	38000.000	81000.000	1.0000
33	Waveform 1	1	10.919330729	10.920664063	38000.000	81000.000	1.0000
33	Spectrogram 1	1	10.919330729	10.920664063	38000.000	81000.000	1.0000
34	Waveform 1	1	11.258664062	11.259997396	38000.000	81000.000	1.0000
34	Spectrogram 1	1	11.258664062	11.259997396	38000.000	81000.000	1.0000
35	Waveform 1	1	11.696664063	11.701330729	38000.000	81000.000	0.4286
35	Spectrogram 1	1	11.696664063	11.701330729	38000.000	81000.000	0.4286
36	Waveform 1	1	12.686664063	12.688664063	38000.000	81000.000	1.0000
36	Spectrogram 1	1	12.686664063	12.688664063	38000.000	81000.000	1.0000
37	Waveform 1	1	12.895997396	12.897330729	38000.000	81000.000	1.0000
37	Spectrogram 1	1	12.895997396	12.897330729	38000.000	81000.000	1.0000
38	Waveform 1	1	13.179330729	13.181330729	38000.000	81000.000	0.6667
38	Spectrogram 1	1	13.179330729	13.181330729	38000.000	81000.000	0.6667
39	Waveform 1	1	13.933997396	13.941330729	38000.000	81000.000	0.2727
39	Spectrogram 1	1	13.933997396	13.941330729	38000.000	81000.000	0.2727
40	Waveform 1	1	14.218664063	14.220664063	38000.000	81000.000	1.0000
40	Spectrogram 1	1	14.218664063	14.220664063	38000.000	81000.000	1.0000
41	Waveform 1	1	14.849330729	14.858664063	38000.000	81000.000	0.3571
41	Spectrogram 1	1	14.849330729	14.858664063	38000.000	81000.000	0.3571
