Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	67.207330729	67.208664062	38000.000	81000.000	1.0000
1	Spectrogram 1	1	67.207330729	67.208664062	38000.000	81000.000	1.0000
2	Waveform 1	1	67.501330729	67.503330729	38000.000	81000.000	1.0000
2	Spectrogram 1	1	67.501330729	67.503330729	38000.000	81000.000	1.0000
3	Waveform 1	1	67.567330729	67.569330729	38000.000	81000.000	1.0000
3	Spectrogram 1	1	67.567330729	67.569330729	38000.000	81000.000	1.0000
4	Waveform 1	1	67.677997396	67.679997396	38000.000	81000.000	1.0000
4	Spectrogram 1	1	67.677997396	67.679997396	38000.000	81000.000	1.0000
5	Waveform 1	1	67.901330729	67.902664062	38000.000	81000.000	1.0000
5	Spectrogram 1	1	67.901330729	67.902664062	38000.000	81000.000	1.0000
6	Waveform 1	1	67.985330729	67.987330729	38000.000	81000.000	1.0000
6	Spectrogram 1	1	67.985330729	67.987330729	38000.000	81000.000	1.0000
7	Waveform 1	1	68.069330729	68.071330729	38000.000	81000.000	1.0000
7	Spectrogram 1	1	68.069330729	68.071330729	38000.000	81000.000	1.0000
8	Waveform 1	1	68.179330729	68.180664062	38000.000	81000.000	1.0000
8	Spectrogram 1	1	68.179330729	68.180664062	38000.000	81000.000	1.0000
9	Waveform 1	1	68.283997396	68.289330729	38000.000	81000.000	1.0000
9	Spectrogram 1	1	68.283997396	68.289330729	38000.000	81000.000	1.0000
10	Waveform 1	1	68.381330729	68.385997396	38000.000	81000.000	0.7143
10	Spectrogram 1	1	68.381330729	68.385997396	38000.000	81000.000	0.7143
11	Waveform 1	1	68.478664062	68.485330729	38000.000	81000.000	0.9000
11	Spectrogram 1	1	68.478664062	68.485330729	38000.000	81000.000	0.9000
12	Waveform 1	1	68.629330729	68.638664062	38000.000	81000.000	0.6429
12	Spectrogram 1	1	68.629330729	68.638664062	38000.000	81000.000	0.6429
13	Waveform 1	1	68.713997396	68.720664062	38000.000	81000.000	0.8000
13	Spectrogram 1	1	68.713997396	68.720664062	38000.000	81000.000	0.8000
14	Waveform 1	1	68.849330729	68.859330729	38000.000	81000.000	0.8000
14	Spectrogram 1	1	68.849330729	68.859330729	38000.000	81000.000	0.8000
15	Waveform 1	1	69.015330729	69.028664062	38000.000	81000.000	0.9500
15	Spectrogram 1	1	69.015330729	69.028664062	38000.000	81000.000	0.9500
16	Waveform 1	1	69.110664062	69.121330729	38000.000	81000.000	0.6250
16	Spectrogram 1	1	69.110664062	69.121330729	38000.000	81000.000	0.6250
17	Waveform 1	1	69.313997396	69.329330729	38000.000	81000.000	0.8261
17	Spectrogram 1	1	69.313997396	69.329330729	38000.000	81000.000	0.8261
18	Waveform 1	1	69.449997396	69.458664062	38000.000	81000.000	0.9231
18	Spectrogram 1	1	69.449997396	69.458664062	38000.000	81000.000	0.9231
19	Waveform 1	1	69.539330729	69.550664062	38000.000	81000.000	0.7647
19	Spectrogram 1	1	69.539330729	69.550664062	38000.000	81000.000	0.7647
20	Waveform 1	1	69.693997396	69.701330729	38000.000	81000.000	0.6364
20	Spectrogram 1	1	69.693997396	69.701330729	38000.000	81000.000	0.6364
21	Waveform 1	1	69.849997396	69.862664062	38000.000	81000.000	0.8947
21	Spectrogram 1	1	69.849997396	69.862664062	38000.000	81000.000	0.8947
22	Waveform 1	1	70.165330729	70.176664062	38000.000	81000.000	0.9412
22	Spectrogram 1	1	70.165330729	70.176664062	38000.000	81000.000	0.9412
23	Waveform 1	1	70.225330729	70.230664062	38000.000	81000.000	0.6250
23	Spectrogram 1	1	70.225330729	70.230664062	38000.000	81000.000	0.6250
24	Waveform 1	1	70.281330729	70.282664062	38000.000	81000.000	1.0000
24	Spectrogram 1	1	70.281330729	70.282664062	38000.000	81000.000	1.0000
25	Waveform 1	1	70.809330729	70.810664062	38000.000	81000.000	1.0000
25	Spectrogram 1	1	70.809330729	70.810664062	38000.000	81000.000	1.0000
26	Waveform 1	1	70.885330729	70.892664062	38000.000	81000.000	0.5455
26	Spectrogram 1	1	70.885330729	70.892664062	38000.000	81000.000	0.5455
27	Waveform 1	1	70.965997396	70.972664062	38000.000	81000.000	0.7000
27	Spectrogram 1	1	70.965997396	70.972664062	38000.000	81000.000	0.7000
28	Waveform 1	1	71.038664062	71.044664062	38000.000	81000.000	0.3333
28	Spectrogram 1	1	71.038664062	71.044664062	38000.000	81000.000	0.3333
29	Waveform 1	1	71.094664062	71.095997396	38000.000	81000.000	1.0000
29	Spectrogram 1	1	71.094664062	71.095997396	38000.000	81000.000	1.0000
30	Waveform 1	1	71.145330729	71.146664062	38000.000	81000.000	1.0000
30	Spectrogram 1	1	71.145330729	71.146664062	38000.000	81000.000	1.0000
31	Waveform 1	1	71.191330729	71.192664062	38000.000	81000.000	1.0000
31	Spectrogram 1	1	71.191330729	71.192664062	38000.000	81000.000	1.0000
32	Waveform 1	1	71.335330729	71.337997396	38000.000	81000.000	0.5000
32	Spectrogram 1	1	71.335330729	71.337997396	38000.000	81000.000	0.5000
33	Waveform 1	1	71.534664062	71.541997396	38000.000	81000.000	0.9091
33	Spectrogram 1	1	71.534664062	71.541997396	38000.000	81000.000	0.9091
34	Waveform 1	1	71.611997396	71.624664062	38000.000	81000.000	0.8421
34	Spectrogram 1	1	71.611997396	71.624664062	38000.000	81000.000	0.8421
35	Waveform 1	1	71.691330729	71.707330729	38000.000	81000.000	0.8333
