Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	30.416664063	30.435330729	22000.000	38000.000	0.1071
1	Spectrogram 1	1	30.416664063	30.435330729	22000.000	38000.000	0.1071
2	Waveform 1	1	31.329997396	31.374664062	22000.000	38000.000	0.0746
2	Spectrogram 1	1	31.329997396	31.374664062	22000.000	38000.000	0.0746
3	Waveform 1	1	33.299997396	33.306664062	22000.000	38000.000	0.2000
3	Spectrogram 1	1	33.299997396	33.306664062	22000.000	38000.000	0.2000
4	Waveform 1	1	34.116664062	34.210664063	22000.000	38000.000	0.0993
4	Spectrogram 1	1	34.116664062	34.210664063	22000.000	38000.000	0.0993
5	Waveform 1	1	35.907997396	36.013997396	22000.000	38000.000	0.2579
5	Spectrogram 1	1	35.907997396	36.013997396	22000.000	38000.000	0.2579
6	Waveform 1	1	38.519997396	38.585330729	22000.000	38000.000	0.1327
6	Spectrogram 1	1	38.519997396	38.585330729	22000.000	38000.000	0.1327
7	Waveform 1	1	46.727997396	46.735330729	22000.000	38000.000	0.1818
7	Spectrogram 1	1	46.727997396	46.735330729	22000.000	38000.000	0.1818
8	Waveform 1	1	50.526664063	50.595330729	22000.000	38000.000	0.1262
8	Spectrogram 1	1	50.526664063	50.595330729	22000.000	38000.000	0.1262
9	Waveform 1	1	355.587997396	355.633330729	22000.000	38000.000	0.0735
9	Spectrogram 1	1	355.587997396	355.633330729	22000.000	38000.000	0.0735
10	Waveform 1	1	357.029330729	357.030664062	22000.000	38000.000	1.0000
10	Spectrogram 1	1	357.029330729	357.030664062	22000.000	38000.000	1.0000
11	Waveform 1	1	357.161330729	357.163330729	22000.000	38000.000	1.0000
11	Spectrogram 1	1	357.161330729	357.163330729	22000.000	38000.000	1.0000
12	Waveform 1	1	557.954664063	558.011330729	22000.000	38000.000	0.2471
12	Spectrogram 1	1	557.954664063	558.011330729	22000.000	38000.000	0.2471
13	Waveform 1	1	1073.784664063	1073.806664062	22000.000	38000.000	0.0909
13	Spectrogram 1	1	1073.784664063	1073.806664062	22000.000	38000.000	0.0909
14	Waveform 1	1	1082.451330729	1082.533330729	22000.000	38000.000	0.0732
14	Spectrogram 1	1	1082.451330729	1082.533330729	22000.000	38000.000	0.0732
15	Waveform 1	1	1192.774664062	1192.809330729	22000.000	38000.000	0.1346
15	Spectrogram 1	1	1192.774664062	1192.809330729	22000.000	38000.000	0.1346
16	Waveform 1	1	1194.537997396	1194.576664062	22000.000	38000.000	0.1034
16	Spectrogram 1	1	1194.537997396	1194.576664062	22000.000	38000.000	0.1034
17	Waveform 1	1	1200.719330729	1200.752664062	22000.000	38000.000	0.0800
17	Spectrogram 1	1	1200.719330729	1200.752664062	22000.000	38000.000	0.0800
18	Waveform 1	1	1204.676664062	1204.698664063	22000.000	38000.000	0.1212
18	Spectrogram 1	1	1204.676664062	1204.698664063	22000.000	38000.000	0.1212
19	Waveform 1	1	1209.889997396	1209.896664062	22000.000	38000.000	0.2000
19	Spectrogram 1	1	1209.889997396	1209.896664062	22000.000	38000.000	0.2000
20	Waveform 1	1	1255.714664062	1255.747997396	22000.000	38000.000	0.0800
20	Spectrogram 1	1	1255.714664062	1255.747997396	22000.000	38000.000	0.0800
21	Waveform 1	1	1276.465330729	1276.476664063	22000.000	38000.000	0.1176
21	Spectrogram 1	1	1276.465330729	1276.476664063	22000.000	38000.000	0.1176
22	Waveform 1	1	1456.547330729	1456.587997396	22000.000	38000.000	0.2131
22	Spectrogram 1	1	1456.547330729	1456.587997396	22000.000	38000.000	0.2131
