,File Size,Month,Date,Time,File Name,Recording Status,Energy in first 5 secs
0,222M,Jul,5,11:59,20220705_185210.WAV,full with data,39594.297
1,856M,Jul,5,12:29,20220705_190000.WAV,full with data,583.0315
2,856M,Jul,5,12:59,20220705_193000.WAV,full with data,343.66043
3,856M,Jul,5,13:29,20220705_200000.WAV,full with data,1292.4662
4,856M,Jul,5,13:59,20220705_203000.WAV,full with data,940.4726
5,856M,Jul,5,14:29,20220705_210000.WAV,full with data,321.24884
6,856M,Jul,5,14:59,20220705_213000.WAV,full with data,705.73364
7,856M,Jul,5,15:29,20220705_220000.WAV,full with data,1205.4232
8,856M,Jul,5,15:59,20220705_223000.WAV,full with data,354.93634
9,856M,Jul,5,16:29,20220705_230000.WAV,full with data,338.1383
10,856M,Jul,5,16:59,20220705_233000.WAV,full with data,416.90192
11,856M,Jul,5,17:29,20220706_000000.WAV,full with data,1719.5754
12,856M,Jul,5,17:59,20220706_003000.WAV,full with data,1203.9506
13,856M,Jul,5,18:29,20220706_010000.WAV,full with data,850.61993
14,856M,Jul,5,18:59,20220706_013000.WAV,full with data,409.79764
15,856M,Jul,5,19:29,20220706_020000.WAV,full with data,231.8095
16,856M,Jul,5,19:59,20220706_023000.WAV,full with data,634.6405
17,856M,Jul,5,20:29,20220706_030000.WAV,full with data,450.4029
18,856M,Jul,5,20:59,20220706_033000.WAV,full with data,578.01996
19,856M,Jul,5,21:29,20220706_040000.WAV,full with data,4707.505
20,730M,Jul,5,21:55,20220706_043000.WAV,full with data,172.11627
21,126M,Jul,5,21:59,20220706_045531.WAV,full but no data,76.81769
22,856M,Jul,5,22:29,20220706_050000.WAV,full but no data,9.566614
23,856M,Jul,5,22:59,20220706_053000.WAV,full but no data,9.600052
24,856M,Jul,5,23:29,20220706_060000.WAV,full but no data,9.576351
25,856M,Jul,5,23:59,20220706_063000.WAV,full but no data,9.591204
26,856M,Jul,6,00:29,20220706_070000.WAV,full but no data,9.579975
27,856M,Jul,6,00:59,20220706_073000.WAV,full but no data,9.601084
28,856M,Jul,6,01:29,20220706_080000.WAV,full but no data,9.655651
29,856M,Jul,6,01:59,20220706_083000.WAV,full but no data,9.623622
30,856M,Jul,6,02:29,20220706_090000.WAV,full but no data,9.593098
31,856M,Jul,6,02:59,20220706_093000.WAV,full but no data,9.521275
32,856M,Jul,6,03:29,20220706_100000.WAV,full but no data,9.612392
33,856M,Jul,6,03:59,20220706_103000.WAV,full but no data,9.561188
34,856M,Jul,6,04:29,20220706_110000.WAV,full but no data,9.581534
35,856M,Jul,6,04:59,20220706_113000.WAV,full but no data,9.5416
36,856M,Jul,6,05:29,20220706_120000.WAV,full but no data,9.558682
37,856M,Jul,6,05:59,20220706_123000.WAV,full but no data,9.55993
38,856M,Jul,6,06:29,20220706_130000.WAV,full but no data,9.597533
39,856M,Jul,6,06:59,20220706_133000.WAV,full but no data,9.77264
40,856M,Jul,6,07:29,20220706_140000.WAV,full but no data,10.055497
41,856M,Jul,6,07:59,20220706_143000.WAV,full but no data,9.876652
42,856M,Jul,6,08:29,20220706_150000.WAV,full but no data,9.666456
43,856M,Jul,6,08:59,20220706_153000.WAV,full but no data,10.059046
44,856M,Jul,6,09:29,20220706_160000.WAV,full but no data,9.803649
45,856M,Jul,6,09:59,20220706_163000.WAV,full but no data,9.66738
46,856M,Jul,6,10:29,20220706_170000.WAV,full but no data,10.035279
47,856M,Jul,6,10:59,20220706_173000.WAV,full but no data,10.3934965
48,856M,Jul,6,11:29,20220706_180000.WAV,full but no data,9.965592
49,856M,Jul,6,11:59,20220706_183000.WAV,full but no data,10.164611
50,856M,Jul,6,12:29,20220706_190000.WAV,full but no data,9.819598
