,File Size,Month,Date,Time,File Name,Recording Status,Energy in first 5 secs
0,864K,Jul,9,12:46,20220709_194629.WAV,full with data,4586.361328125
1,0,Dec,31,1979,20220709_194915.WAV,empty,
2,107M,Jul,9,12:59,20220709_195611.WAV,full with data,24559.06640625
3,856M,Jul,9,13:29,20220709_200000.WAV,full with data,274.546142578125
4,856M,Jul,9,13:59,20220709_203000.WAV,full with data,172.21542358398438
5,856M,Jul,9,14:29,20220709_210000.WAV,full with data,314.4609375
6,856M,Jul,9,14:59,20220709_213000.WAV,full with data,715.2611694335938
7,856M,Jul,9,15:29,20220709_220000.WAV,full with data,419.35552978515625
8,856M,Jul,9,15:59,20220709_223000.WAV,full with data,463.7996520996094
9,856M,Jul,9,16:29,20220709_230000.WAV,full with data,182.10195922851562
10,856M,Jul,9,16:59,20220709_233000.WAV,full with data,523.85009765625
11,856M,Jul,9,17:29,20220710_000000.WAV,full with data,509.211669921875
12,856M,Jul,9,17:59,20220710_003000.WAV,full with data,345.475341796875
13,856M,Jul,9,18:29,20220710_010000.WAV,full with data,646.2901611328125
14,856M,Jul,9,18:59,20220710_013000.WAV,full with data,2291.44482421875
15,856M,Jul,9,19:29,20220710_020000.WAV,full with data,326.3239440917969
16,856M,Jul,9,19:59,20220710_023000.WAV,full with data,1625.777587890625
17,856M,Jul,9,20:29,20220710_030000.WAV,full with data,292.8334045410156
18,856M,Jul,9,20:59,20220710_033000.WAV,full with data,1229.6949462890625
19,856M,Jul,9,21:29,20220710_040000.WAV,full with data,175.69287109375
20,856M,Jul,9,21:59,20220710_043000.WAV,full with data,352.51678466796875
21,856M,Jul,9,22:29,20220710_050000.WAV,full with data,267.0897216796875
22,856M,Jul,9,22:59,20220710_053000.WAV,full with data,114.43766784667969
23,856M,Jul,9,23:29,20220710_060000.WAV,full with data,84.55813598632812
24,856M,Jul,9,23:59,20220710_063000.WAV,full with data,194.58311462402344
25,856M,Jul,10,00:29,20220710_070000.WAV,full with data,84.80339813232422
26,856M,Jul,10,00:59,20220710_073000.WAV,full with data,41.56536865234375
27,856M,Jul,10,01:29,20220710_080000.WAV,full with data,105.7803726196289
28,856M,Jul,10,01:59,20220710_083000.WAV,full with data,85.26378631591797
29,856M,Jul,10,02:29,20220710_090000.WAV,full with data,80.29995727539062
30,856M,Jul,10,02:59,20220710_093000.WAV,full with data,66.86714935302734
