,File Size,Month,Date,Time,File Name,Recording Status,Energy in first 5 secs
0,992K,Jul,9,12:45,20220709_194556.WAV,full with data,10683.9658203125
1,343M,Jul,9,12:59,20220709_194756.WAV,full with data,50491.625
2,856M,Jul,9,13:29,20220709_200000.WAV,full with data,44.145469665527344
3,856M,Jul,9,13:59,20220709_203000.WAV,full with data,93.19990539550781
4,856M,Jul,9,14:29,20220709_210000.WAV,full with data,132.6440887451172
5,856M,Jul,9,14:59,20220709_213000.WAV,full with data,559.479248046875
6,856M,Jul,9,15:29,20220709_220000.WAV,full with data,292.90606689453125
7,856M,Jul,9,15:59,20220709_223000.WAV,full with data,330.7012939453125
8,856M,Jul,9,16:29,20220709_230000.WAV,full with data,137.7862091064453
9,856M,Jul,9,16:59,20220709_233000.WAV,full with data,451.35650634765625
10,856M,Jul,9,17:29,20220710_000000.WAV,full with data,385.95709228515625
11,856M,Jul,9,17:59,20220710_003000.WAV,full with data,326.5716552734375
12,856M,Jul,9,18:29,20220710_010000.WAV,full with data,406.2273254394531
13,856M,Jul,9,18:59,20220710_013000.WAV,full with data,2269.736328125
14,856M,Jul,9,19:29,20220710_020000.WAV,full with data,174.16139221191406
15,856M,Jul,9,19:59,20220710_023000.WAV,full with data,851.773193359375
16,856M,Jul,9,20:29,20220710_030000.WAV,full with data,128.5526123046875
17,856M,Jul,9,20:59,20220710_033000.WAV,full with data,558.21630859375
18,856M,Jul,9,21:29,20220710_040000.WAV,full with data,80.8154067993164
19,856M,Jul,9,21:59,20220710_043000.WAV,full with data,131.19436645507812
20,856M,Jul,9,22:29,20220710_050000.WAV,full with data,81.09757232666016
21,856M,Jul,9,22:59,20220710_053000.WAV,full with data,44.722476959228516
22,856M,Jul,9,23:29,20220710_060000.WAV,full with data,42.626991271972656
23,856M,Jul,9,23:59,20220710_063000.WAV,full with data,84.37327575683594
24,856M,Jul,10,00:29,20220710_070000.WAV,full with data,46.23252487182617
25,856M,Jul,10,00:59,20220710_073000.WAV,full with data,23.896390914916992
26,856M,Jul,10,01:29,20220710_080000.WAV,full with data,75.23373413085938
27,856M,Jul,10,01:59,20220710_083000.WAV,full with data,67.6331558227539
28,856M,Jul,10,02:29,20220710_090000.WAV,full with data,59.226810455322266
29,856M,Jul,10,02:59,20220710_093000.WAV,full with data,26.872055053710938
30,65M,Jul,13,00:03,20220710_100000.WAV,full with data,36.64096450805664
