,File Size,Month,Date,Time,File Name,Recording Status,Energy in first 5 secs
0,225M,Jul,7,12:29,20220707_192205.WAV,full with data,29550.992
1,856M,Jul,7,12:59,20220707_193000.WAV,full with data,1402.8856
2,856M,Jul,7,13:29,20220707_200000.WAV,full with data,328.2598
3,856M,Jul,7,13:59,20220707_203000.WAV,full with data,444.43564
4,856M,Jul,7,14:29,20220707_210000.WAV,full with data,1379.2151
5,856M,Jul,7,14:59,20220707_213000.WAV,full with data,1099.5808
6,856M,Jul,7,15:29,20220707_220000.WAV,full with data,18199.025
7,856M,Jul,7,15:59,20220707_223000.WAV,full with data,439.69772
8,856M,Jul,7,16:29,20220707_230000.WAV,full with data,563.3673
9,856M,Jul,7,16:59,20220707_233000.WAV,full with data,3515.3455
10,856M,Jul,7,17:29,20220708_000000.WAV,full with data,675.36536
11,856M,Jul,7,17:59,20220708_003000.WAV,full with data,1052.9954
12,856M,Jul,7,18:29,20220708_010000.WAV,full with data,628.23425
13,856M,Jul,7,18:59,20220708_013000.WAV,full with data,939.35474
14,856M,Jul,7,19:29,20220708_020000.WAV,full with data,748.0295
15,856M,Jul,7,19:59,20220708_023000.WAV,full with data,812.0521
16,856M,Jul,7,20:29,20220708_030000.WAV,full with data,658.7003
17,856M,Jul,7,20:59,20220708_033000.WAV,full with data,1884.2556
18,856M,Jul,7,21:29,20220708_040000.WAV,full with data,1016.1662
19,856M,Jul,7,21:59,20220708_043000.WAV,full with data,361.87646
20,856M,Jul,7,22:29,20220708_050000.WAV,full with data,469.6098
21,856M,Jul,7,22:59,20220708_053000.WAV,full with data,58.12639
22,856M,Jul,7,23:29,20220708_060000.WAV,full with data,48.14241
23,856M,Jul,7,23:59,20220708_063000.WAV,full with data,47.416553
24,856M,Jul,8,00:29,20220708_070000.WAV,full with data,47.653614
25,856M,Jul,8,00:59,20220708_073000.WAV,full with data,35.221664
26,856M,Jul,8,01:29,20220708_080000.WAV,full with data,44.05701
27,856M,Jul,8,01:59,20220708_083000.WAV,full with data,52.5418
28,856M,Jul,8,02:29,20220708_090000.WAV,full with data,26.986866
29,856M,Jul,8,02:59,20220708_093000.WAV,full with data,28.226452
30,856M,Jul,8,03:29,20220708_100000.WAV,full with data,25.306019
31,856M,Jul,8,03:59,20220708_103000.WAV,full with data,37.502274
32,856M,Jul,8,04:29,20220708_110000.WAV,full with data,29.012964
33,856M,Jul,8,04:59,20220708_113000.WAV,full with data,30.064482
34,856M,Jul,8,05:29,20220708_120000.WAV,full with data,63.68992
35,856M,Jul,8,05:59,20220708_123000.WAV,full with data,163.96928
36,856M,Jul,8,06:29,20220708_130000.WAV,full with data,4016.872
37,856M,Jul,8,06:59,20220708_133000.WAV,full with data,3040.1467
38,856M,Jul,8,07:29,20220708_140000.WAV,full with data,457.62778
39,856M,Jul,8,07:59,20220708_143000.WAV,full with data,93.59285
40,856M,Jul,8,08:29,20220708_150000.WAV,full with data,111.14679
41,856M,Jul,8,08:59,20220708_153000.WAV,full with data,142.31432
42,856M,Jul,8,09:29,20220708_160000.WAV,full with data,123.40977
43,856M,Jul,8,09:59,20220708_163000.WAV,full with data,627.3007
44,856M,Jul,8,10:29,20220708_170000.WAV,full with data,626.1312
45,856M,Jul,8,10:59,20220708_173000.WAV,full with data,554.5807
46,856M,Jul,8,11:29,20220708_180000.WAV,full with data,354.90503
47,856M,Jul,8,11:59,20220708_183000.WAV,full with data,367.17947
48,856M,Jul,8,12:29,20220708_190000.WAV,full with data,252.17522
49,856M,Jul,8,12:59,20220708_193000.WAV,full with data,415.93475
50,856M,Jul,8,13:29,20220708_200000.WAV,full with data,3200.1067
51,856M,Jul,8,13:59,20220708_203000.WAV,full with data,156.48247
52,856M,Jul,8,14:29,20220708_210000.WAV,full with data,205.5591
53,856M,Jul,8,14:59,20220708_213000.WAV,full with data,969.12036
54,856M,Jul,8,15:29,20220708_220000.WAV,full with data,816.827
55,856M,Jul,8,15:59,20220708_223000.WAV,full with data,350.79584
56,856M,Jul,8,16:29,20220708_230000.WAV,full with data,310.09396
57,856M,Jul,8,16:59,20220708_233000.WAV,full with data,239.25465
58,856M,Jul,8,17:29,20220709_000000.WAV,full with data,316.85208
59,856M,Jul,8,17:59,20220709_003000.WAV,full with data,986.5395
60,856M,Jul,8,18:29,20220709_010000.WAV,full with data,287.59888
61,856M,Jul,8,18:59,20220709_013000.WAV,full with data,3960.131
62,856M,Jul,8,19:29,20220709_020000.WAV,full with data,818.818
63,856M,Jul,8,19:59,20220709_023000.WAV,full with data,266.5179
64,856M,Jul,8,20:29,20220709_030000.WAV,full with data,223.01337
65,856M,Jul,8,20:59,20220709_033000.WAV,full with data,228.644
66,856M,Jul,8,21:29,20220709_040000.WAV,full with data,120.70013
67,856M,Jul,8,21:59,20220709_043000.WAV,full with data,69.95636
68,856M,Jul,8,22:29,20220709_050000.WAV,full with data,195.16782
69,856M,Jul,8,22:59,20220709_053000.WAV,full with data,105.720436
