,File Size,Month,Date,Time,File Name,Recording Status,Energy in first 5 secs
100,488,Jul,3,15:00,20220703_220050.WAV,very small but no data,0.0
101,488,Jul,3,15:00,20220703_220051.WAV,very small but no data,0.0
102,488,Jul,3,15:00,20220703_220052.WAV,very small but no data,0.0
103,488,Jul,3,15:00,20220703_220053.WAV,very small but no data,0.0
104,488,Jul,3,15:00,20220703_220054.WAV,very small but no data,0.0
105,488,Jul,3,15:00,20220703_220055.WAV,very small but no data,0.0
106,488,Jul,3,15:00,20220703_220056.WAV,very small but no data,0.0
107,488,Jul,3,15:00,20220703_220057.WAV,very small but no data,0.0
108,488,Jul,3,15:00,20220703_220058.WAV,very small but no data,0.0
109,488,Jul,3,15:00,20220703_220059.WAV,very small but no data,0.0
110,488,Jul,3,15:00,20220703_220100.WAV,very small but no data,0.0
111,488,Jul,3,15:01,20220703_220101.WAV,very small but no data,0.0
112,488,Jul,3,15:01,20220703_220102.WAV,very small but no data,0.0
113,488,Jul,3,15:01,20220703_220103.WAV,very small but no data,0.0
114,488,Jul,3,15:01,20220703_220104.WAV,very small but no data,0.0
115,488,Jul,3,15:01,20220703_220105.WAV,very small but no data,0.0
116,488,Jul,3,15:01,20220703_220106.WAV,very small but no data,0.0
117,488,Jul,3,15:01,20220703_220107.WAV,very small but no data,0.0
118,488,Jul,3,15:01,20220703_220108.WAV,very small but no data,0.0
119,488,Jul,3,15:01,20220703_220109.WAV,very small but no data,0.0
120,488,Jul,3,15:01,20220703_220110.WAV,very small but no data,0.0
121,488,Jul,3,15:01,20220703_220111.WAV,very small but no data,0.0
122,488,Jul,3,15:01,20220703_220112.WAV,very small but no data,0.0
123,488,Jul,3,15:01,20220703_220113.WAV,very small but no data,0.0
124,488,Jul,3,15:01,20220703_220114.WAV,very small but no data,0.0
125,488,Jul,3,15:01,20220703_220115.WAV,very small but no data,0.0
126,488,Jul,3,15:01,20220703_220116.WAV,very small but no data,0.0
127,488,Jul,3,15:01,20220703_220117.WAV,very small but no data,0.0
128,488,Jul,3,15:01,20220703_220118.WAV,very small but no data,0.0
129,488,Jul,3,15:01,20220703_220119.WAV,very small but no data,0.0
130,488,Jul,3,15:01,20220703_220120.WAV,very small but no data,0.0
131,488,Jul,3,15:01,20220703_220121.WAV,very small but no data,0.0
132,488,Jul,3,15:01,20220703_220122.WAV,very small but no data,0.0
133,488,Jul,3,15:01,20220703_220123.WAV,very small but no data,0.0
134,488,Jul,3,15:01,20220703_220124.WAV,very small but no data,0.0
135,488,Jul,3,15:01,20220703_220125.WAV,very small but no data,0.0
136,488,Jul,3,15:01,20220703_220126.WAV,very small but no data,0.0
137,488,Jul,3,15:01,20220703_220127.WAV,very small but no data,0.0
138,488,Jul,3,15:01,20220703_220128.WAV,very small but no data,0.0
139,488,Jul,3,15:01,20220703_220129.WAV,very small but no data,0.0
140,488,Jul,3,15:01,20220703_220130.WAV,very small but no data,0.0
141,488,Jul,3,15:01,20220703_220131.WAV,very small but no data,0.0
142,488,Jul,3,15:01,20220703_220132.WAV,very small but no data,0.0
143,488,Jul,3,15:01,20220703_220133.WAV,very small but no data,0.0
144,488,Jul,3,15:01,20220703_220134.WAV,very small but no data,0.0
145,488,Jul,3,15:01,20220703_220135.WAV,very small but no data,0.0
146,488,Jul,3,15:01,20220703_220136.WAV,very small but no data,0.0
147,488,Jul,3,15:01,20220703_220137.WAV,very small but no data,0.0
148,488,Jul,3,15:01,20220703_220138.WAV,very small but no data,0.0
149,488,Jul,3,15:01,20220703_220139.WAV,very small but no data,0.0
150,488,Jul,3,15:01,20220703_220140.WAV,very small but no data,0.0
151,488,Jul,3,15:01,20220703_220141.WAV,very small but no data,0.0
152,488,Jul,3,15:01,20220703_220142.WAV,very small but no data,0.0
153,488,Jul,3,15:01,20220703_220143.WAV,very small but no data,0.0
154,488,Jul,3,15:01,20220703_220144.WAV,very small but no data,0.0
155,488,Jul,3,15:01,20220703_220145.WAV,very small but no data,0.0
156,488,Jul,3,15:01,20220703_220146.WAV,very small but no data,0.0
157,488,Jul,3,15:01,20220703_220147.WAV,very small but no data,0.0
158,488,Jul,3,15:01,20220703_220148.WAV,very small but no data,0.0
159,488,Jul,3,15:01,20220703_220149.WAV,very small but no data,0.0
160,488,Jul,3,15:01,20220703_220150.WAV,very small but no data,0.0
161,488,Jul,3,15:01,20220703_220151.WAV,very small but no data,0.0
162,488,Jul,3,15:01,20220703_220152.WAV,very small but no data,0.0
163,488,Jul,3,15:01,20220703_220153.WAV,very small but no data,0.0
164,488,Jul,3,15:01,20220703_220154.WAV,very small but no data,0.0
165,488,Jul,3,15:01,20220703_220155.WAV,very small but no data,0.0
166,488,Jul,3,15:01,20220703_220156.WAV,very small but no data,0.0
167,488,Jul,3,15:01,20220703_220157.WAV,very small but no data,0.0
168,488,Jul,3,15:01,20220703_220158.WAV,very small but no data,0.0
169,488,Jul,3,15:01,20220703_220159.WAV,very small but no data,0.0
170,488,Jul,3,15:01,20220703_220200.WAV,very small but no data,0.0
171,488,Jul,3,15:02,20220703_220201.WAV,very small but no data,0.0
172,488,Jul,3,15:02,20220703_220202.WAV,very small but no data,0.0
173,488,Jul,3,15:02,20220703_220203.WAV,very small but no data,0.0
174,488,Jul,3,15:02,20220703_220204.WAV,very small but no data,0.0
175,488,Jul,3,15:02,20220703_220205.WAV,very small but no data,0.0
176,488,Jul,3,15:02,20220703_220206.WAV,very small but no data,0.0
177,488,Jul,3,15:02,20220703_220207.WAV,very small but no data,0.0
178,488,Jul,3,15:02,20220703_220208.WAV,very small but no data,0.0
179,488,Jul,3,15:02,20220703_220209.WAV,very small but no data,0.0
180,488,Jul,3,15:02,20220703_220210.WAV,very small but no data,0.0
181,488,Jul,3,15:02,20220703_220211.WAV,very small but no data,0.0
182,488,Jul,3,15:02,20220703_220212.WAV,very small but no data,0.0
183,488,Jul,3,15:02,20220703_220213.WAV,very small but no data,0.0
184,488,Jul,3,15:02,20220703_220214.WAV,very small but no data,0.0
185,488,Jul,3,15:02,20220703_220215.WAV,very small but no data,0.0
186,488,Jul,3,15:02,20220703_220216.WAV,very small but no data,0.0
187,488,Jul,3,15:02,20220703_220217.WAV,very small but no data,0.0
188,488,Jul,3,15:02,20220703_220218.WAV,very small but no data,0.0
189,488,Jul,3,15:02,20220703_220219.WAV,very small but no data,0.0
190,488,Jul,3,15:02,20220703_220220.WAV,very small but no data,0.0
191,488,Jul,3,15:02,20220703_220221.WAV,very small but no data,0.0
192,488,Jul,3,15:02,20220703_220222.WAV,very small but no data,0.0
193,488,Jul,3,15:02,20220703_220223.WAV,very small but no data,0.0
194,488,Jul,3,15:02,20220703_220224.WAV,very small but no data,0.0
195,488,Jul,3,15:02,20220703_220225.WAV,very small but no data,0.0
196,488,Jul,3,15:02,20220703_220226.WAV,very small but no data,0.0
197,488,Jul,3,15:02,20220703_220227.WAV,very small but no data,0.0
198,488,Jul,3,15:02,20220703_220228.WAV,very small but no data,0.0
199,488,Jul,3,15:02,20220703_220229.WAV,very small but no data,0.0
200,488,Jul,3,15:02,20220703_220230.WAV,very small but no data,0.0
201,488,Jul,3,15:02,20220703_220231.WAV,very small but no data,0.0
202,488,Jul,3,15:02,20220703_220232.WAV,very small but no data,0.0
203,488,Jul,3,15:02,20220703_220233.WAV,very small but no data,0.0
204,488,Jul,3,15:02,20220703_220234.WAV,very small but no data,0.0
205,488,Jul,3,15:02,20220703_220235.WAV,very small but no data,0.0
206,488,Jul,3,15:02,20220703_220236.WAV,very small but no data,0.0
207,488,Jul,3,15:02,20220703_220237.WAV,very small but no data,0.0
208,488,Jul,3,15:02,20220703_220238.WAV,very small but no data,0.0
209,488,Jul,3,15:02,20220703_220239.WAV,very small but no data,0.0
210,488,Jul,3,15:02,20220703_220240.WAV,very small but no data,0.0
211,488,Jul,3,15:02,20220703_220241.WAV,very small but no data,0.0
212,488,Jul,3,15:02,20220703_220242.WAV,very small but no data,0.0
213,488,Jul,3,15:02,20220703_220243.WAV,very small but no data,0.0
214,488,Jul,3,15:02,20220703_220244.WAV,very small but no data,0.0
215,488,Jul,3,15:02,20220703_220245.WAV,very small but no data,0.0
216,488,Jul,3,15:02,20220703_220246.WAV,very small but no data,0.0
217,488,Jul,3,15:02,20220703_220247.WAV,very small but no data,0.0
218,488,Jul,3,15:02,20220703_220248.WAV,very small but no data,0.0
219,488,Jul,3,15:02,20220703_220249.WAV,very small but no data,0.0
220,488,Jul,3,15:02,20220703_220250.WAV,very small but no data,0.0
221,488,Jul,3,15:02,20220703_220251.WAV,very small but no data,0.0
222,488,Jul,3,15:02,20220703_220252.WAV,very small but no data,0.0
223,488,Jul,3,15:02,20220703_220253.WAV,very small but no data,0.0
224,488,Jul,3,15:02,20220703_220254.WAV,very small but no data,0.0
225,488,Jul,3,15:02,20220703_220255.WAV,very small but no data,0.0
226,488,Jul,3,15:02,20220703_220256.WAV,very small but no data,0.0
227,488,Jul,3,15:02,20220703_220257.WAV,very small but no data,0.0
228,488,Jul,3,15:02,20220703_220258.WAV,very small but no data,0.0
229,488,Jul,3,15:02,20220703_220259.WAV,very small but no data,0.0
230,488,Jul,3,15:02,20220703_220300.WAV,very small but no data,0.0
231,488,Jul,3,15:03,20220703_220301.WAV,very small but no data,0.0
232,488,Jul,3,15:03,20220703_220302.WAV,very small but no data,0.0
233,488,Jul,3,15:03,20220703_220303.WAV,very small but no data,0.0
234,488,Jul,3,15:03,20220703_220304.WAV,very small but no data,0.0
235,488,Jul,3,15:03,20220703_220305.WAV,very small but no data,0.0
236,488,Jul,3,15:03,20220703_220306.WAV,very small but no data,0.0
237,488,Jul,3,15:03,20220703_220307.WAV,very small but no data,0.0
238,488,Jul,3,15:03,20220703_220308.WAV,very small but no data,0.0
239,488,Jul,3,15:03,20220703_220309.WAV,very small but no data,0.0
240,488,Jul,3,15:03,20220703_220310.WAV,very small but no data,0.0
241,488,Jul,3,15:03,20220703_220311.WAV,very small but no data,0.0
242,488,Jul,3,15:03,20220703_220312.WAV,very small but no data,0.0
243,488,Jul,3,15:03,20220703_220313.WAV,very small but no data,0.0
244,488,Jul,3,15:03,20220703_220314.WAV,very small but no data,0.0
245,488,Jul,3,15:03,20220703_220315.WAV,very small but no data,0.0
246,488,Jul,3,15:03,20220703_220316.WAV,very small but no data,0.0
247,488,Jul,3,15:03,20220703_220317.WAV,very small but no data,0.0
248,488,Jul,3,15:03,20220703_220318.WAV,very small but no data,0.0
249,488,Jul,3,15:03,20220703_220319.WAV,very small but no data,0.0
250,488,Jul,3,15:03,20220703_220320.WAV,very small but no data,0.0
251,488,Jul,3,15:03,20220703_220321.WAV,very small but no data,0.0
252,488,Jul,3,15:03,20220703_220322.WAV,very small but no data,0.0
253,488,Jul,3,15:03,20220703_220323.WAV,very small but no data,0.0
254,488,Jul,3,15:03,20220703_220324.WAV,very small but no data,0.0
255,488,Jul,3,15:03,20220703_220325.WAV,very small but no data,0.0
256,488,Jul,3,15:03,20220703_220326.WAV,very small but no data,0.0
257,488,Jul,3,15:03,20220703_220327.WAV,very small but no data,0.0
258,488,Jul,3,15:03,20220703_220328.WAV,very small but no data,0.0
259,488,Jul,3,15:03,20220703_220329.WAV,very small but no data,0.0
260,488,Jul,3,15:03,20220703_220330.WAV,very small but no data,0.0
261,488,Jul,3,15:03,20220703_220331.WAV,very small but no data,0.0
262,488,Jul,3,15:03,20220703_220332.WAV,very small but no data,0.0
263,488,Jul,3,15:03,20220703_220333.WAV,very small but no data,0.0
264,488,Jul,3,15:03,20220703_220334.WAV,very small but no data,0.0
265,488,Jul,3,15:03,20220703_220335.WAV,very small but no data,0.0
266,488,Jul,3,15:03,20220703_220336.WAV,very small but no data,0.0
267,488,Jul,3,15:03,20220703_220337.WAV,very small but no data,0.0
268,488,Jul,3,15:03,20220703_220338.WAV,very small but no data,0.0
269,488,Jul,3,15:03,20220703_220339.WAV,very small but no data,0.0
270,488,Jul,3,15:03,20220703_220340.WAV,very small but no data,0.0
271,488,Jul,3,15:03,20220703_220341.WAV,very small but no data,0.0
272,488,Jul,3,15:03,20220703_220342.WAV,very small but no data,0.0
273,488,Jul,3,15:03,20220703_220343.WAV,very small but no data,0.0
274,488,Jul,3,15:03,20220703_220344.WAV,very small but no data,0.0
275,488,Jul,3,15:03,20220703_220345.WAV,very small but no data,0.0
276,488,Jul,3,15:03,20220703_220346.WAV,very small but no data,0.0
277,488,Jul,3,15:03,20220703_220347.WAV,very small but no data,0.0
278,488,Jul,3,15:03,20220703_220348.WAV,very small but no data,0.0
279,488,Jul,3,15:03,20220703_220349.WAV,very small but no data,0.0
280,488,Jul,3,15:03,20220703_220350.WAV,very small but no data,0.0
281,488,Jul,3,15:03,20220703_220351.WAV,very small but no data,0.0
282,488,Jul,3,15:03,20220703_220352.WAV,very small but no data,0.0
283,488,Jul,3,15:03,20220703_220353.WAV,very small but no data,0.0
284,488,Jul,3,15:03,20220703_220354.WAV,very small but no data,0.0
285,488,Jul,3,15:03,20220703_220355.WAV,very small but no data,0.0
286,488,Jul,3,15:03,20220703_220356.WAV,very small but no data,0.0
287,488,Jul,3,15:03,20220703_220357.WAV,very small but no data,0.0
288,488,Jul,3,15:03,20220703_220358.WAV,very small but no data,0.0
289,488,Jul,3,15:03,20220703_220359.WAV,very small but no data,0.0
290,488,Jul,3,15:03,20220703_220400.WAV,very small but no data,0.0
291,488,Jul,3,15:04,20220703_220401.WAV,very small but no data,0.0
292,488,Jul,3,15:04,20220703_220402.WAV,very small but no data,0.0
293,488,Jul,3,15:04,20220703_220403.WAV,very small but no data,0.0
294,488,Jul,3,15:04,20220703_220404.WAV,very small but no data,0.0
295,488,Jul,3,15:04,20220703_220405.WAV,very small but no data,0.0
296,488,Jul,3,15:04,20220703_220406.WAV,very small but no data,0.0
297,488,Jul,3,15:04,20220703_220407.WAV,very small but no data,0.0
298,488,Jul,3,15:04,20220703_220408.WAV,very small but no data,0.0
