Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	1043.345997396	1043.347997396	22000.000	38000.000	0.6667
1	Spectrogram 1	1	1043.345997396	1043.347997396	22000.000	38000.000	0.6667
2	Waveform 1	1	1044.010664062	1044.011997396	22000.000	38000.000	1.0000
2	Spectrogram 1	1	1044.010664062	1044.011997396	22000.000	38000.000	1.0000
3	Waveform 1	1	1046.555330729	1046.561997396	22000.000	38000.000	0.3000
3	Spectrogram 1	1	1046.555330729	1046.561997396	22000.000	38000.000	0.3000
4	Waveform 1	1	1047.115997396	1047.123997396	22000.000	38000.000	0.1667
4	Spectrogram 1	1	1047.115997396	1047.123997396	22000.000	38000.000	0.1667
5	Waveform 1	1	1047.781997396	1047.788664062	22000.000	38000.000	0.2000
5	Spectrogram 1	1	1047.781997396	1047.788664062	22000.000	38000.000	0.2000
6	Waveform 1	1	1048.031330729	1048.038664062	22000.000	38000.000	0.1818
6	Spectrogram 1	1	1048.031330729	1048.038664062	22000.000	38000.000	0.1818
7	Waveform 1	1	1048.961997396	1048.983997396	22000.000	38000.000	0.1212
7	Spectrogram 1	1	1048.961997396	1048.983997396	22000.000	38000.000	0.1212
8	Waveform 1	1	1049.623997396	1049.625330729	22000.000	38000.000	1.0000
8	Spectrogram 1	1	1049.623997396	1049.625330729	22000.000	38000.000	1.0000
9	Waveform 1	1	1050.439997396	1050.446664062	22000.000	38000.000	0.2000
9	Spectrogram 1	1	1050.439997396	1050.446664062	22000.000	38000.000	0.2000
10	Waveform 1	1	1755.211330729	1755.214664062	22000.000	38000.000	0.6000
10	Spectrogram 1	1	1755.211330729	1755.214664062	22000.000	38000.000	0.6000
11	Waveform 1	1	1755.824664063	1755.843997396	22000.000	38000.000	0.1379
11	Spectrogram 1	1	1755.824664063	1755.843997396	22000.000	38000.000	0.1379
12	Waveform 1	1	1756.581997396	1756.589997396	22000.000	38000.000	0.3333
12	Spectrogram 1	1	1756.581997396	1756.589997396	22000.000	38000.000	0.3333
13	Waveform 1	1	1759.705330729	1759.713330729	22000.000	38000.000	0.1667
13	Spectrogram 1	1	1759.705330729	1759.713330729	22000.000	38000.000	0.1667
