Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	168.985330729	169.002664063	22000.000	38000.000	0.0769
1	Spectrogram 1	1	168.985330729	169.002664063	22000.000	38000.000	0.0769
2	Waveform 1	1	752.066664063	752.073330729	22000.000	38000.000	0.2000
2	Spectrogram 1	1	752.066664063	752.073330729	22000.000	38000.000	0.2000
3	Waveform 1	1	752.149997396	752.152664063	22000.000	38000.000	0.7500
3	Spectrogram 1	1	752.149997396	752.152664063	22000.000	38000.000	0.7500
4	Waveform 1	1	752.238664063	752.248664063	22000.000	38000.000	0.2000
4	Spectrogram 1	1	752.238664063	752.248664063	22000.000	38000.000	0.2000
5	Waveform 1	1	752.319330729	752.320664063	22000.000	38000.000	1.0000
5	Spectrogram 1	1	752.319330729	752.320664063	22000.000	38000.000	1.0000
6	Waveform 1	1	752.445330729	752.449330729	22000.000	38000.000	0.5000
6	Spectrogram 1	1	752.445330729	752.449330729	22000.000	38000.000	0.5000
7	Waveform 1	1	752.515330729	752.519330729	22000.000	38000.000	0.3333
7	Spectrogram 1	1	752.515330729	752.519330729	22000.000	38000.000	0.3333
8	Waveform 1	1	752.992664063	752.994664063	22000.000	38000.000	0.6667
8	Spectrogram 1	1	752.992664063	752.994664063	22000.000	38000.000	0.6667
9	Waveform 1	1	753.263330729	753.306664063	22000.000	38000.000	0.0769
9	Spectrogram 1	1	753.263330729	753.306664063	22000.000	38000.000	0.0769
10	Waveform 1	1	753.395997396	753.397330729	22000.000	38000.000	1.0000
10	Spectrogram 1	1	753.395997396	753.397330729	22000.000	38000.000	1.0000
11	Waveform 1	1	753.883330729	753.885330729	22000.000	38000.000	1.0000
11	Spectrogram 1	1	753.883330729	753.885330729	22000.000	38000.000	1.0000
