Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	1700.309330729	1700.311330729	38000.000	81000.000	0.6667
1	Spectrogram 1	1	1700.309330729	1700.311330729	38000.000	81000.000	0.6667
2	Waveform 1	1	1703.149330729	1703.152664062	38000.000	81000.000	1.0000
2	Spectrogram 1	1	1703.149330729	1703.152664062	38000.000	81000.000	1.0000
3	Waveform 1	1	1703.343330729	1703.344664062	38000.000	81000.000	1.0000
3	Spectrogram 1	1	1703.343330729	1703.344664062	38000.000	81000.000	1.0000
4	Waveform 1	1	1703.564664063	1703.568664062	38000.000	81000.000	0.5000
4	Spectrogram 1	1	1703.564664063	1703.568664062	38000.000	81000.000	0.5000
