Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	54.367742000	54.373886000	22000.000	38000.000	0.5000
1	Spectrogram 1	1	54.367742000	54.373886000	22000.000	38000.000	0.5000
2	Waveform 1	1	55.352318000	55.354366000	22000.000	38000.000	0.5000
2	Spectrogram 1	1	55.352318000	55.354366000	22000.000	38000.000	0.5000
3	Waveform 1	1	56.075774000	56.085502000	22000.000	38000.000	0.2105
3	Spectrogram 1	1	56.075774000	56.085502000	22000.000	38000.000	0.2105
4	Waveform 1	1	384.113662000	384.115710000	22000.000	38000.000	0.7500
4	Spectrogram 1	1	384.113662000	384.115710000	22000.000	38000.000	0.7500
5	Waveform 1	1	416.004606000	416.006142000	22000.000	38000.000	0.6667
5	Spectrogram 1	1	416.004606000	416.006142000	22000.000	38000.000	0.6667
6	Waveform 1	1	416.120830000	416.138750000	22000.000	38000.000	0.2571
6	Spectrogram 1	1	416.120830000	416.138750000	22000.000	38000.000	0.2571
7	Waveform 1	1	420.026366000	420.029438000	22000.000	38000.000	0.6667
7	Spectrogram 1	1	420.026366000	420.029438000	22000.000	38000.000	0.6667
8	Waveform 1	1	420.217854000	420.221438000	22000.000	38000.000	0.5714
8	Spectrogram 1	1	420.217854000	420.221438000	22000.000	38000.000	0.5714
9	Waveform 1	1	420.556798000	420.585470000	22000.000	38000.000	0.0893
9	Spectrogram 1	1	420.556798000	420.585470000	22000.000	38000.000	0.0893
10	Waveform 1	1	420.677118000	420.755966000	22000.000	38000.000	0.0974
10	Spectrogram 1	1	420.677118000	420.755966000	22000.000	38000.000	0.0974
11	Waveform 1	1	644.793854000	644.806654000	22000.000	38000.000	0.3200
11	Spectrogram 1	1	644.793854000	644.806654000	22000.000	38000.000	0.3200
12	Waveform 1	1	645.515262000	645.516286000	22000.000	38000.000	1.0000
12	Spectrogram 1	1	645.515262000	645.516286000	22000.000	38000.000	1.0000
13	Waveform 1	1	662.434302000	662.438398000	22000.000	38000.000	0.5000
13	Spectrogram 1	1	662.434302000	662.438398000	22000.000	38000.000	0.5000
14	Waveform 1	1	663.037438000	663.043070000	22000.000	38000.000	0.1818
14	Spectrogram 1	1	663.037438000	663.043070000	22000.000	38000.000	0.1818
15	Waveform 1	1	663.505918000	663.512574000	22000.000	38000.000	0.4615
15	Spectrogram 1	1	663.505918000	663.512574000	22000.000	38000.000	0.4615
16	Waveform 1	1	664.201726000	664.214526000	22000.000	38000.000	0.4000
16	Spectrogram 1	1	664.201726000	664.214526000	22000.000	38000.000	0.4000
17	Waveform 1	1	665.022974000	665.026558000	22000.000	38000.000	1.0000
17	Spectrogram 1	1	665.022974000	665.026558000	22000.000	38000.000	1.0000
18	Waveform 1	1	665.866750000	665.869310000	22000.000	38000.000	1.0000
18	Spectrogram 1	1	665.866750000	665.869310000	22000.000	38000.000	1.0000
19	Waveform 1	1	783.790590000	783.791614000	22000.000	38000.000	1.0000
19	Spectrogram 1	1	783.790590000	783.791614000	22000.000	38000.000	1.0000
