Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	430.506664062	430.507997396	22000.000	38000.000	1.0000
1	Spectrogram 1	1	430.506664062	430.507997396	22000.000	38000.000	1.0000
2	Waveform 1	1	488.301330729	488.302664063	22000.000	38000.000	1.0000
2	Spectrogram 1	1	488.301330729	488.302664063	22000.000	38000.000	1.0000
3	Waveform 1	1	1790.034664063	1790.045997396	22000.000	38000.000	0.3529
3	Spectrogram 1	1	1790.034664063	1790.045997396	22000.000	38000.000	0.3529
4	Waveform 1	1	1790.295997396	1790.307997396	22000.000	38000.000	0.5556
4	Spectrogram 1	1	1790.295997396	1790.307997396	22000.000	38000.000	0.5556
5	Waveform 1	1	1790.708664063	1790.741330729	22000.000	38000.000	0.3469
5	Spectrogram 1	1	1790.708664063	1790.741330729	22000.000	38000.000	0.3469
6	Waveform 1	1	1791.532664062	1791.579330729	22000.000	38000.000	0.4000
6	Spectrogram 1	1	1791.532664062	1791.579330729	22000.000	38000.000	0.4000
7	Waveform 1	1	1791.954664062	1791.963997396	22000.000	38000.000	0.5714
7	Spectrogram 1	1	1791.954664062	1791.963997396	22000.000	38000.000	0.5714
8	Waveform 1	1	1792.377330729	1792.421330729	22000.000	38000.000	0.3182
8	Spectrogram 1	1	1792.377330729	1792.421330729	22000.000	38000.000	0.3182
9	Waveform 1	1	1792.812664062	1792.829330729	22000.000	38000.000	0.4400
9	Spectrogram 1	1	1792.812664062	1792.829330729	22000.000	38000.000	0.4400
10	Waveform 1	1	1793.231330729	1793.287997396	22000.000	38000.000	0.3059
10	Spectrogram 1	1	1793.231330729	1793.287997396	22000.000	38000.000	0.3059
11	Waveform 1	1	1793.530664062	1793.586664062	22000.000	38000.000	0.3095
11	Spectrogram 1	1	1793.530664062	1793.586664062	22000.000	38000.000	0.3095
12	Waveform 1	1	1793.926664062	1793.947997396	22000.000	38000.000	0.3125
12	Spectrogram 1	1	1793.926664062	1793.947997396	22000.000	38000.000	0.3125
13	Waveform 1	1	1794.361330729	1794.425997396	22000.000	38000.000	0.2887
13	Spectrogram 1	1	1794.361330729	1794.425997396	22000.000	38000.000	0.2887
14	Waveform 1	1	1794.799330729	1794.815330729	22000.000	38000.000	0.5000
14	Spectrogram 1	1	1794.799330729	1794.815330729	22000.000	38000.000	0.5000
