Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	1519.074302000	1519.075326000	38000.000	81000.000	1.0000
1	Spectrogram 1	1	1519.074302000	1519.075326000	38000.000	81000.000	1.0000
2	Waveform 1	1	1519.158782000	1519.159806000	38000.000	81000.000	1.0000
2	Spectrogram 1	1	1519.158782000	1519.159806000	38000.000	81000.000	1.0000
3	Waveform 1	1	1519.852030000	1519.853054000	38000.000	81000.000	1.0000
3	Spectrogram 1	1	1519.852030000	1519.853054000	38000.000	81000.000	1.0000
4	Waveform 1	1	1520.408062000	1520.409086000	38000.000	81000.000	1.0000
4	Spectrogram 1	1	1520.408062000	1520.409086000	38000.000	81000.000	1.0000
5	Waveform 1	1	1520.472062000	1520.473086000	38000.000	81000.000	1.0000
5	Spectrogram 1	1	1520.472062000	1520.473086000	38000.000	81000.000	1.0000
6	Waveform 1	1	1520.551934000	1520.553470000	38000.000	81000.000	1.0000
6	Spectrogram 1	1	1520.551934000	1520.553470000	38000.000	81000.000	1.0000
7	Waveform 1	1	1520.636926000	1520.638462000	38000.000	81000.000	1.0000
7	Spectrogram 1	1	1520.636926000	1520.638462000	38000.000	81000.000	1.0000
8	Waveform 1	1	1520.721406000	1520.723454000	38000.000	81000.000	1.0000
8	Spectrogram 1	1	1520.721406000	1520.723454000	38000.000	81000.000	1.0000
9	Waveform 1	1	1520.844798000	1520.847358000	38000.000	81000.000	0.8000
9	Spectrogram 1	1	1520.844798000	1520.847358000	38000.000	81000.000	0.8000
10	Waveform 1	1	1520.919550000	1520.927742000	38000.000	81000.000	0.7500
10	Spectrogram 1	1	1520.919550000	1520.927742000	38000.000	81000.000	0.7500
11	Waveform 1	1	1521.000446000	1521.004030000	38000.000	81000.000	0.8571
11	Spectrogram 1	1	1521.000446000	1521.004030000	38000.000	81000.000	0.8571
12	Waveform 1	1	1521.078270000	1521.089534000	38000.000	81000.000	0.8182
12	Spectrogram 1	1	1521.078270000	1521.089534000	38000.000	81000.000	0.8182
13	Waveform 1	1	1521.188350000	1521.200126000	38000.000	81000.000	0.7826
13	Spectrogram 1	1	1521.188350000	1521.200126000	38000.000	81000.000	0.7826
14	Waveform 1	1	1521.257982000	1521.262078000	38000.000	81000.000	0.7500
14	Spectrogram 1	1	1521.257982000	1521.262078000	38000.000	81000.000	0.7500
15	Waveform 1	1	1521.332734000	1521.345534000	38000.000	81000.000	0.8400
15	Spectrogram 1	1	1521.332734000	1521.345534000	38000.000	81000.000	0.8400
16	Waveform 1	1	1521.416190000	1521.420286000	38000.000	81000.000	0.8750
16	Spectrogram 1	1	1521.416190000	1521.420286000	38000.000	81000.000	0.8750
17	Waveform 1	1	1521.500670000	1521.510910000	38000.000	81000.000	0.9000
17	Spectrogram 1	1	1521.500670000	1521.510910000	38000.000	81000.000	0.9000
18	Waveform 1	1	1521.589246000	1521.590270000	38000.000	81000.000	1.0000
18	Spectrogram 1	1	1521.589246000	1521.590270000	38000.000	81000.000	1.0000
19	Waveform 1	1	1521.675262000	1521.687038000	38000.000	81000.000	0.8696
19	Spectrogram 1	1	1521.675262000	1521.687038000	38000.000	81000.000	0.8696
20	Waveform 1	1	1521.757182000	1521.767422000	38000.000	81000.000	0.8500
20	Spectrogram 1	1	1521.757182000	1521.767422000	38000.000	81000.000	0.8500
21	Waveform 1	1	1521.830398000	1521.831422000	38000.000	81000.000	1.0000
21	Spectrogram 1	1	1521.830398000	1521.831422000	38000.000	81000.000	1.0000
22	Waveform 1	1	1521.901054000	1521.912318000	38000.000	81000.000	0.9091
22	Spectrogram 1	1	1521.901054000	1521.912318000	38000.000	81000.000	0.9091
23	Waveform 1	1	1522.058750000	1522.064894000	38000.000	81000.000	0.4167
23	Spectrogram 1	1	1522.058750000	1522.064894000	38000.000	81000.000	0.4167
24	Waveform 1	1	1522.198526000	1522.199550000	38000.000	81000.000	1.0000
24	Spectrogram 1	1	1522.198526000	1522.199550000	38000.000	81000.000	1.0000
