Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	5.173330729	5.198664063	22000.000	38000.000	0.4211
1	Spectrogram 1	1	5.173330729	5.198664063	22000.000	38000.000	0.4211
2	Waveform 1	1	5.452664063	5.461330729	22000.000	38000.000	0.6923
2	Spectrogram 1	1	5.452664063	5.461330729	22000.000	38000.000	0.6923
3	Waveform 1	1	5.873997396	5.893997396	22000.000	38000.000	0.2667
3	Spectrogram 1	1	5.873997396	5.893997396	22000.000	38000.000	0.2667
4	Waveform 1	1	6.580664063	6.628664063	22000.000	38000.000	0.2222
4	Spectrogram 1	1	6.580664063	6.628664063	22000.000	38000.000	0.2222
5	Waveform 1	1	7.283330729	7.314664063	22000.000	38000.000	0.2766
5	Spectrogram 1	1	7.283330729	7.314664063	22000.000	38000.000	0.2766
6	Waveform 1	1	7.831330729	7.891330729	22000.000	38000.000	0.2000
6	Spectrogram 1	1	7.831330729	7.891330729	22000.000	38000.000	0.2000
7	Waveform 1	1	8.397997396	8.451330729	22000.000	38000.000	0.2375
7	Spectrogram 1	1	8.397997396	8.451330729	22000.000	38000.000	0.2375
8	Waveform 1	1	8.679330729	8.691997396	22000.000	38000.000	0.4211
8	Spectrogram 1	1	8.679330729	8.691997396	22000.000	38000.000	0.4211
9	Waveform 1	1	9.076664063	9.137997396	22000.000	38000.000	0.2500
9	Spectrogram 1	1	9.076664063	9.137997396	22000.000	38000.000	0.2500
10	Waveform 1	1	9.364664063	9.369330729	22000.000	38000.000	0.4286
10	Spectrogram 1	1	9.364664063	9.369330729	22000.000	38000.000	0.4286
11	Waveform 1	1	9.873997396	9.888664063	22000.000	38000.000	0.1364
11	Spectrogram 1	1	9.873997396	9.888664063	22000.000	38000.000	0.1364
12	Waveform 1	1	10.454664063	10.469330729	22000.000	38000.000	0.5000
12	Spectrogram 1	1	10.454664063	10.469330729	22000.000	38000.000	0.5000
13	Waveform 1	1	11.007997396	11.018664063	22000.000	38000.000	0.3125
13	Spectrogram 1	1	11.007997396	11.018664063	22000.000	38000.000	0.3125
14	Waveform 1	1	11.425997396	11.456664062	22000.000	38000.000	0.2609
14	Spectrogram 1	1	11.425997396	11.456664062	22000.000	38000.000	0.2609
15	Waveform 1	1	241.619997396	241.629330729	22000.000	38000.000	0.5000
15	Spectrogram 1	1	241.619997396	241.629330729	22000.000	38000.000	0.5000
16	Waveform 1	1	281.551997396	281.555330729	22000.000	38000.000	0.4000
16	Spectrogram 1	1	281.551997396	281.555330729	22000.000	38000.000	0.4000
17	Waveform 1	1	282.405997396	282.407330729	22000.000	38000.000	1.0000
17	Spectrogram 1	1	282.405997396	282.407330729	22000.000	38000.000	1.0000
18	Waveform 1	1	283.305997396	283.307330729	22000.000	38000.000	1.0000
18	Spectrogram 1	1	283.305997396	283.307330729	22000.000	38000.000	1.0000
19	Waveform 1	1	407.647997396	407.651330729	22000.000	38000.000	0.6000
19	Spectrogram 1	1	407.647997396	407.651330729	22000.000	38000.000	0.6000
20	Waveform 1	1	408.370664062	408.407997396	22000.000	38000.000	0.0714
20	Spectrogram 1	1	408.370664062	408.407997396	22000.000	38000.000	0.0714
21	Waveform 1	1	408.650664062	408.653330729	22000.000	38000.000	0.5000
21	Spectrogram 1	1	408.650664062	408.653330729	22000.000	38000.000	0.5000
22	Waveform 1	1	410.857997396	410.864664062	22000.000	38000.000	0.2000
22	Spectrogram 1	1	410.857997396	410.864664062	22000.000	38000.000	0.2000
23	Waveform 1	1	411.965997396	411.997330729	22000.000	38000.000	0.0851
23	Spectrogram 1	1	411.965997396	411.997330729	22000.000	38000.000	0.0851
24	Waveform 1	1	413.607330729	413.609330729	22000.000	38000.000	0.6667
24	Spectrogram 1	1	413.607330729	413.609330729	22000.000	38000.000	0.6667
25	Waveform 1	1	426.739997396	426.787330729	22000.000	38000.000	0.0845
25	Spectrogram 1	1	426.739997396	426.787330729	22000.000	38000.000	0.0845
26	Waveform 1	1	427.483997396	427.487330729	22000.000	38000.000	0.4000
26	Spectrogram 1	1	427.483997396	427.487330729	22000.000	38000.000	0.4000
27	Waveform 1	1	428.695330729	428.773330729	22000.000	38000.000	0.2393
27	Spectrogram 1	1	428.695330729	428.773330729	22000.000	38000.000	0.2393
28	Waveform 1	1	429.451330729	429.452664062	22000.000	38000.000	1.0000
28	Spectrogram 1	1	429.451330729	429.452664062	22000.000	38000.000	1.0000
29	Waveform 1	1	430.997330729	431.020664062	22000.000	38000.000	0.1143
29	Spectrogram 1	1	430.997330729	431.020664062	22000.000	38000.000	0.1143
30	Waveform 1	1	431.846664062	431.847997396	22000.000	38000.000	1.0000
30	Spectrogram 1	1	431.846664062	431.847997396	22000.000	38000.000	1.0000
31	Waveform 1	1	446.831330729	446.878664062	22000.000	38000.000	0.0845
31	Spectrogram 1	1	446.831330729	446.878664062	22000.000	38000.000	0.0845
32	Waveform 1	1	447.855997396	447.859997396	22000.000	38000.000	0.6667
32	Spectrogram 1	1	447.855997396	447.859997396	22000.000	38000.000	0.6667
33	Waveform 1	1	448.213997396	448.221997396	22000.000	38000.000	0.3333
33	Spectrogram 1	1	448.213997396	448.221997396	22000.000	38000.000	0.3333
34	Waveform 1	1	448.585997396	448.587330729	22000.000	38000.000	1.0000
34	Spectrogram 1	1	448.585997396	448.587330729	22000.000	38000.000	1.0000
35	Waveform 1	1	448.827330729	448.834664062	22000.000	38000.000	0.6364
35	Spectrogram 1	1	448.827330729	448.834664062	22000.000	38000.000	0.6364
36	Waveform 1	1	449.068664062	449.079330729	22000.000	38000.000	0.3750
36	Spectrogram 1	1	449.068664062	449.079330729	22000.000	38000.000	0.3750
37	Waveform 1	1	449.911330729	449.931330729	22000.000	38000.000	0.6333
37	Spectrogram 1	1	449.911330729	449.931330729	22000.000	38000.000	0.6333
38	Waveform 1	1	450.029330729	450.031997396	22000.000	38000.000	1.0000
38	Spectrogram 1	1	450.029330729	450.031997396	22000.000	38000.000	1.0000
39	Waveform 1	1	450.645330729	450.653330729	22000.000	38000.000	0.2500
39	Spectrogram 1	1	450.645330729	450.653330729	22000.000	38000.000	0.2500
40	Waveform 1	1	450.969997396	450.971330729	22000.000	38000.000	1.0000
40	Spectrogram 1	1	450.969997396	450.971330729	22000.000	38000.000	1.0000
41	Waveform 1	1	451.400664062	451.403330729	22000.000	38000.000	1.0000
41	Spectrogram 1	1	451.400664062	451.403330729	22000.000	38000.000	1.0000
42	Waveform 1	1	451.474664062	451.517330729	22000.000	38000.000	0.1562
42	Spectrogram 1	1	451.474664062	451.517330729	22000.000	38000.000	0.1562
43	Waveform 1	1	451.639997396	451.647997396	22000.000	38000.000	0.7500
43	Spectrogram 1	1	451.639997396	451.647997396	22000.000	38000.000	0.7500
44	Waveform 1	1	451.873330729	451.893330729	22000.000	38000.000	0.3333
44	Spectrogram 1	1	451.873330729	451.893330729	22000.000	38000.000	0.3333
45	Waveform 1	1	451.968664063	451.975330729	22000.000	38000.000	0.4000
45	Spectrogram 1	1	451.968664063	451.975330729	22000.000	38000.000	0.4000
46	Waveform 1	1	452.607330729	452.689330729	22000.000	38000.000	0.1707
46	Spectrogram 1	1	452.607330729	452.689330729	22000.000	38000.000	0.1707
47	Waveform 1	1	452.912664062	452.915330729	22000.000	38000.000	0.7500
47	Spectrogram 1	1	452.912664062	452.915330729	22000.000	38000.000	0.7500
48	Waveform 1	1	453.047330729	453.049330729	22000.000	38000.000	0.6667
48	Spectrogram 1	1	453.047330729	453.049330729	22000.000	38000.000	0.6667
49	Waveform 1	1	453.155997396	453.159997396	22000.000	38000.000	0.3333
49	Spectrogram 1	1	453.155997396	453.159997396	22000.000	38000.000	0.3333
50	Waveform 1	1	453.327997396	453.336664063	22000.000	38000.000	0.4615
50	Spectrogram 1	1	453.327997396	453.336664063	22000.000	38000.000	0.4615
51	Waveform 1	1	453.537997396	453.550664063	22000.000	38000.000	0.1053
51	Spectrogram 1	1	453.537997396	453.550664063	22000.000	38000.000	0.1053
52	Waveform 1	1	454.246664062	454.249330729	22000.000	38000.000	0.7500
52	Spectrogram 1	1	454.246664062	454.249330729	22000.000	38000.000	0.7500
53	Waveform 1	1	454.970664063	454.982664063	22000.000	38000.000	0.3889
53	Spectrogram 1	1	454.970664063	454.982664063	22000.000	38000.000	0.3889
54	Waveform 1	1	455.218664063	455.225997396	22000.000	38000.000	0.4545
54	Spectrogram 1	1	455.218664063	455.225997396	22000.000	38000.000	0.4545
55	Waveform 1	1	455.679997396	455.744664063	22000.000	38000.000	0.1649
55	Spectrogram 1	1	455.679997396	455.744664063	22000.000	38000.000	0.1649
56	Waveform 1	1	455.991997396	455.995997396	22000.000	38000.000	0.5000
56	Spectrogram 1	1	455.991997396	455.995997396	22000.000	38000.000	0.5000
57	Waveform 1	1	456.320664062	456.349330729	22000.000	38000.000	0.2326
57	Spectrogram 1	1	456.320664062	456.349330729	22000.000	38000.000	0.2326
58	Waveform 1	1	456.520664062	456.524664062	22000.000	38000.000	0.6667
58	Spectrogram 1	1	456.520664062	456.524664062	22000.000	38000.000	0.6667
59	Waveform 1	1	456.630664062	456.637997396	22000.000	38000.000	0.2727
59	Spectrogram 1	1	456.630664062	456.637997396	22000.000	38000.000	0.2727
60	Waveform 1	1	483.901330729	483.905997396	22000.000	38000.000	0.2857
60	Spectrogram 1	1	483.901330729	483.905997396	22000.000	38000.000	0.2857
61	Waveform 1	1	484.056664062	484.057997396	22000.000	38000.000	1.0000
61	Spectrogram 1	1	484.056664062	484.057997396	22000.000	38000.000	1.0000
62	Waveform 1	1	484.465330729	484.469997396	22000.000	38000.000	0.2857
