,File Size,Month,Date,Time,File Name,Recording Status
0,225M,Jul,7,12:29,20220707_192205.WAV,full with data
1,856M,Jul,7,12:59,20220707_193000.WAV,full with data
2,856M,Jul,7,13:29,20220707_200000.WAV,full with data
3,856M,Jul,7,13:59,20220707_203000.WAV,full with data
4,856M,Jul,7,14:29,20220707_210000.WAV,full with data
5,856M,Jul,7,14:59,20220707_213000.WAV,full with data
6,856M,Jul,7,15:29,20220707_220000.WAV,full with data
7,856M,Jul,7,15:59,20220707_223000.WAV,full with data
8,856M,Jul,7,16:29,20220707_230000.WAV,full with data
9,856M,Jul,7,16:59,20220707_233000.WAV,full with data
10,856M,Jul,7,17:29,20220708_000000.WAV,full with data
11,856M,Jul,7,17:59,20220708_003000.WAV,full with data
12,856M,Jul,7,18:29,20220708_010000.WAV,full with data
13,856M,Jul,7,18:59,20220708_013000.WAV,full with data
14,856M,Jul,7,19:29,20220708_020000.WAV,full with data
15,856M,Jul,7,19:59,20220708_023000.WAV,full with data
16,856M,Jul,7,20:29,20220708_030000.WAV,full with data
17,856M,Jul,7,20:59,20220708_033000.WAV,full with data
18,856M,Jul,7,21:29,20220708_040000.WAV,full with data
19,856M,Jul,7,21:59,20220708_043000.WAV,full with data
20,856M,Jul,7,22:29,20220708_050000.WAV,full with data
21,856M,Jul,7,22:59,20220708_053000.WAV,full with data
22,856M,Jul,7,23:29,20220708_060000.WAV,full with data
23,856M,Jul,7,23:59,20220708_063000.WAV,full with data
24,856M,Jul,8,0:29,20220708_070000.WAV,full with data
25,856M,Jul,8,0:59,20220708_073000.WAV,full with data
26,856M,Jul,8,1:29,20220708_080000.WAV,full with data
27,856M,Jul,8,1:59,20220708_083000.WAV,full with data
28,856M,Jul,8,2:29,20220708_090000.WAV,full with data
29,856M,Jul,8,2:59,20220708_093000.WAV,full with data
30,856M,Jul,8,3:29,20220708_100000.WAV,full with data
31,856M,Jul,8,3:59,20220708_103000.WAV,full with data
32,856M,Jul,8,4:29,20220708_110000.WAV,full with data
33,856M,Jul,8,4:59,20220708_113000.WAV,full with data
34,856M,Jul,8,5:29,20220708_120000.WAV,full with data
35,856M,Jul,8,5:59,20220708_123000.WAV,full with data
36,856M,Jul,8,6:29,20220708_130000.WAV,full with data
37,856M,Jul,8,6:59,20220708_133000.WAV,full with data
38,856M,Jul,8,7:29,20220708_140000.WAV,full with data
39,856M,Jul,8,7:59,20220708_143000.WAV,full with data
40,856M,Jul,8,8:29,20220708_150000.WAV,full with data
41,856M,Jul,8,8:59,20220708_153000.WAV,full with data
42,856M,Jul,8,9:29,20220708_160000.WAV,full with data
43,856M,Jul,8,9:59,20220708_163000.WAV,full with data
44,856M,Jul,8,10:29,20220708_170000.WAV,full with data
45,856M,Jul,8,10:59,20220708_173000.WAV,full with data
46,856M,Jul,8,11:29,20220708_180000.WAV,full with data
47,856M,Jul,8,11:59,20220708_183000.WAV,full with data
48,856M,Jul,8,12:29,20220708_190000.WAV,full with data
49,856M,Jul,8,12:59,20220708_193000.WAV,full with data
50,856M,Jul,8,13:29,20220708_200000.WAV,full with data
51,856M,Jul,8,13:59,20220708_203000.WAV,full with data
52,856M,Jul,8,14:29,20220708_210000.WAV,full with data
53,856M,Jul,8,14:59,20220708_213000.WAV,full with data
54,856M,Jul,8,15:29,20220708_220000.WAV,full with data
55,856M,Jul,8,15:59,20220708_223000.WAV,full with data
56,856M,Jul,8,16:29,20220708_230000.WAV,full with data
57,856M,Jul,8,16:59,20220708_233000.WAV,full with data
58,856M,Jul,8,17:29,20220709_000000.WAV,full with data
59,856M,Jul,8,17:59,20220709_003000.WAV,full with data
60,856M,Jul,8,18:29,20220709_010000.WAV,full with data
61,856M,Jul,8,18:59,20220709_013000.WAV,full with data
62,856M,Jul,8,19:29,20220709_020000.WAV,full with data
63,856M,Jul,8,19:59,20220709_023000.WAV,full with data
64,856M,Jul,8,20:29,20220709_030000.WAV,full with data
65,856M,Jul,8,20:59,20220709_033000.WAV,full with data
66,856M,Jul,8,21:29,20220709_040000.WAV,full with data
67,856M,Jul,8,21:59,20220709_043000.WAV,full with data
68,856M,Jul,8,22:29,20220709_050000.WAV,full with data
69,856M,Jul,8,22:59,20220709_053000.WAV,full with data
70,856M,Jul,8,23:29,20220709_060000.WAV,full with data
71,856M,Jul,8,23:59,20220709_063000.WAV,full with data
72,856M,Jul,9,0:29,20220709_070000.WAV,full with data
73,856M,Jul,9,0:59,20220709_073000.WAV,full with data
74,856M,Jul,9,1:29,20220709_080000.WAV,full with data
75,856M,Jul,9,1:59,20220709_083000.WAV,full with data
76,856M,Jul,9,2:29,20220709_090000.WAV,full with data
77,856M,Jul,9,2:59,20220709_093000.WAV,full with data
78,856M,Jul,9,3:29,20220709_100000.WAV,full with data
79,856M,Jul,9,3:59,20220709_103000.WAV,full with data
80,856M,Jul,9,4:29,20220709_110000.WAV,full with data
81,856M,Jul,9,4:59,20220709_113000.WAV,full with data
82,856M,Jul,9,5:29,20220709_120000.WAV,full with data
83,856M,Jul,9,5:59,20220709_123000.WAV,full with data
84,856M,Jul,9,6:29,20220709_130000.WAV,full with data
85,856M,Jul,9,6:59,20220709_133000.WAV,full with data
86,856M,Jul,9,7:29,20220709_140000.WAV,full with data
87,856M,Jul,9,7:59,20220709_143000.WAV,full with data
88,856M,Jul,9,8:29,20220709_150000.WAV,full with data
89,856M,Jul,9,8:59,20220709_153000.WAV,full with data
90,856M,Jul,9,9:29,20220709_160000.WAV,full with data
91,856M,Jul,9,9:59,20220709_163000.WAV,full with data
92,856M,Jul,9,10:29,20220709_170000.WAV,full with data
93,856M,Jul,9,10:59,20220709_173000.WAV,full with data
94,856M,Jul,9,11:29,20220709_180000.WAV,full with data
95,856M,Jul,9,11:59,20220709_183000.WAV,full with data
96,856M,Jul,9,12:29,20220709_190000.WAV,full with data
97,219M,Jul,9,12:37,20220709_193000.WAV,full with data
