,File Size,Month,Date,Time,File Name,Recording Status
0,864K,Jul,9,12:46,20220709_194629.WAV,full with data
1,0,Dec,31,1979,20220709_194915.WAV,empty
2,107M,Jul,9,12:59,20220709_195611.WAV,full with data
3,856M,Jul,9,13:29,20220709_200000.WAV,full with data
4,856M,Jul,9,13:59,20220709_203000.WAV,full with data
5,856M,Jul,9,14:29,20220709_210000.WAV,full with data
6,856M,Jul,9,14:59,20220709_213000.WAV,full with data
7,856M,Jul,9,15:29,20220709_220000.WAV,full with data
8,856M,Jul,9,15:59,20220709_223000.WAV,full with data
9,856M,Jul,9,16:29,20220709_230000.WAV,full with data
10,856M,Jul,9,16:59,20220709_233000.WAV,full with data
11,856M,Jul,9,17:29,20220710_000000.WAV,full with data
12,856M,Jul,9,17:59,20220710_003000.WAV,full with data
13,856M,Jul,9,18:29,20220710_010000.WAV,full with data
14,856M,Jul,9,18:59,20220710_013000.WAV,full with data
15,856M,Jul,9,19:29,20220710_020000.WAV,full with data
16,856M,Jul,9,19:59,20220710_023000.WAV,full with data
17,856M,Jul,9,20:29,20220710_030000.WAV,full with data
18,856M,Jul,9,20:59,20220710_033000.WAV,full with data
19,856M,Jul,9,21:29,20220710_040000.WAV,full with data
20,856M,Jul,9,21:59,20220710_043000.WAV,full with data
21,856M,Jul,9,22:29,20220710_050000.WAV,full with data
22,856M,Jul,9,22:59,20220710_053000.WAV,full with data
23,856M,Jul,9,23:29,20220710_060000.WAV,full with data
24,856M,Jul,9,23:59,20220710_063000.WAV,full with data
25,856M,Jul,10,0:29,20220710_070000.WAV,full with data
26,856M,Jul,10,0:59,20220710_073000.WAV,full with data
27,856M,Jul,10,1:29,20220710_080000.WAV,full with data
28,856M,Jul,10,1:59,20220710_083000.WAV,full with data
29,856M,Jul,10,2:29,20220710_090000.WAV,full with data
30,856M,Jul,10,2:59,20220710_093000.WAV,full with data
31,856M,Jul,10,3:29,20220710_100000.WAV,full with data
32,856M,Jul,10,3:59,20220710_103000.WAV,full with data
33,856M,Jul,10,4:29,20220710_110000.WAV,full with data
34,856M,Jul,10,4:59,20220710_113000.WAV,full with data
35,856M,Jul,10,5:29,20220710_120000.WAV,full with data
36,856M,Jul,10,5:59,20220710_123000.WAV,full with data
37,856M,Jul,10,6:29,20220710_130000.WAV,full with data
38,856M,Jul,10,6:59,20220710_133000.WAV,full with data
39,856M,Jul,10,7:29,20220710_140000.WAV,full with data
40,856M,Jul,10,7:59,20220710_143000.WAV,full with data
41,856M,Jul,10,8:29,20220710_150000.WAV,full with data
42,856M,Jul,10,8:59,20220710_153000.WAV,full with data
43,856M,Jul,10,9:29,20220710_160000.WAV,full with data
44,856M,Jul,10,9:59,20220710_163000.WAV,full with data
45,856M,Jul,10,10:29,20220710_170000.WAV,full with data
46,856M,Jul,10,10:59,20220710_173000.WAV,full with data
47,856M,Jul,10,11:29,20220710_180000.WAV,full with data
48,856M,Jul,10,11:59,20220710_183000.WAV,full with data
49,856M,Jul,10,12:29,20220710_190000.WAV,full with data
50,856M,Jul,10,12:59,20220710_193000.WAV,full with data
51,856M,Jul,10,13:29,20220710_200000.WAV,full with data
52,856M,Jul,10,13:59,20220710_203000.WAV,full with data
53,856M,Jul,10,14:29,20220710_210000.WAV,full with data
54,856M,Jul,10,14:59,20220710_213000.WAV,full with data
55,856M,Jul,10,15:29,20220710_220000.WAV,full with data
56,856M,Jul,10,15:59,20220710_223000.WAV,full with data
57,856M,Jul,10,16:29,20220710_230000.WAV,full with data
58,856M,Jul,10,16:59,20220710_233000.WAV,full with data
59,856M,Jul,10,17:29,20220711_000000.WAV,full with data
60,856M,Jul,10,17:59,20220711_003000.WAV,full with data
61,856M,Jul,10,18:29,20220711_010000.WAV,full with data
62,856M,Jul,10,18:59,20220711_013000.WAV,full with data
63,856M,Jul,10,19:29,20220711_020000.WAV,full with data
64,856M,Jul,10,19:59,20220711_023000.WAV,full with data
65,856M,Jul,10,20:29,20220711_030000.WAV,full with data
66,856M,Jul,10,20:59,20220711_033000.WAV,full with data
67,856M,Jul,10,21:29,20220711_040000.WAV,full with data
68,856M,Jul,10,21:59,20220711_043000.WAV,full with data
69,856M,Jul,10,22:29,20220711_050000.WAV,full with data
70,856M,Jul,10,22:59,20220711_053000.WAV,full with data
71,856M,Jul,10,23:29,20220711_060000.WAV,full with data
72,856M,Jul,10,23:59,20220711_063000.WAV,full with data
73,856M,Jul,11,0:29,20220711_070000.WAV,full with data
74,856M,Jul,11,0:59,20220711_073000.WAV,full with data
75,856M,Jul,11,1:29,20220711_080000.WAV,full with data
76,856M,Jul,11,1:59,20220711_083000.WAV,full with data
77,856M,Jul,11,2:29,20220711_090000.WAV,full with data
78,856M,Jul,11,2:59,20220711_093000.WAV,full with data
79,856M,Jul,11,3:29,20220711_100000.WAV,full with data
80,856M,Jul,11,3:59,20220711_103000.WAV,full with data
81,856M,Jul,11,4:29,20220711_110000.WAV,full with data
82,856M,Jul,11,4:59,20220711_113000.WAV,full with data
83,856M,Jul,11,5:29,20220711_120000.WAV,full with data
84,856M,Jul,11,5:59,20220711_123000.WAV,full with data
85,488,Jul,11,5:59,20220711_130000.WAV,empty
86,488,Jul,11,6:00,20220711_130001.WAV,empty
87,488,Jul,11,6:00,20220711_130002.WAV,empty
88,488,Jul,11,6:00,20220711_130003.WAV,empty
89,488,Jul,11,6:00,20220711_130004.WAV,empty
90,488,Jul,11,6:00,20220711_130005.WAV,empty
91,488,Jul,11,6:00,20220711_130006.WAV,empty
92,488,Jul,11,6:00,20220711_130007.WAV,empty
93,488,Jul,11,6:00,20220711_130008.WAV,empty
94,488,Jul,11,6:00,20220711_130009.WAV,empty
95,488,Jul,11,6:00,20220711_130010.WAV,empty
96,488,Jul,11,6:00,20220711_130011.WAV,empty
97,488,Jul,11,6:00,20220711_130012.WAV,empty
98,488,Jul,11,6:00,20220711_130013.WAV,empty
99,488,Jul,11,6:00,20220711_130014.WAV,empty
100,488,Jul,11,6:00,20220711_130015.WAV,empty
101,488,Jul,11,6:00,20220711_130016.WAV,empty
102,488,Jul,11,6:00,20220711_130017.WAV,empty
