Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	137.889278000	137.890302000	38000.000	81000.000	1.0000
1	Spectrogram 1	1	137.889278000	137.890302000	38000.000	81000.000	1.0000
2	Waveform 1	1	138.151422000	138.152446000	38000.000	81000.000	1.0000
2	Spectrogram 1	1	138.151422000	138.152446000	38000.000	81000.000	1.0000
3	Waveform 1	1	138.417150000	138.418686000	38000.000	81000.000	1.0000
3	Spectrogram 1	1	138.417150000	138.418686000	38000.000	81000.000	1.0000
4	Waveform 1	1	139.475454000	139.476478000	38000.000	81000.000	1.0000
4	Spectrogram 1	1	139.475454000	139.476478000	38000.000	81000.000	1.0000
5	Waveform 1	1	139.651582000	139.652606000	38000.000	81000.000	1.0000
5	Spectrogram 1	1	139.651582000	139.652606000	38000.000	81000.000	1.0000
6	Waveform 1	1	139.820542000	139.821566000	38000.000	81000.000	1.0000
6	Spectrogram 1	1	139.820542000	139.821566000	38000.000	81000.000	1.0000
7	Waveform 1	1	140.013054000	140.014078000	38000.000	81000.000	1.0000
7	Spectrogram 1	1	140.013054000	140.014078000	38000.000	81000.000	1.0000
8	Waveform 1	1	140.539902000	140.540926000	38000.000	81000.000	1.0000
8	Spectrogram 1	1	140.539902000	140.540926000	38000.000	81000.000	1.0000
9	Waveform 1	1	141.490174000	141.491198000	38000.000	81000.000	1.0000
9	Spectrogram 1	1	141.490174000	141.491198000	38000.000	81000.000	1.0000
10	Waveform 1	1	278.159358000	278.164990000	38000.000	81000.000	0.2727
10	Spectrogram 1	1	278.159358000	278.164990000	38000.000	81000.000	0.2727
11	Waveform 1	1	278.768638000	278.774270000	38000.000	81000.000	0.5455
11	Spectrogram 1	1	278.768638000	278.774270000	38000.000	81000.000	0.5455
12	Waveform 1	1	278.846974000	278.854142000	38000.000	81000.000	0.7857
12	Spectrogram 1	1	278.846974000	278.854142000	38000.000	81000.000	0.7857
13	Waveform 1	1	278.936062000	278.939646000	38000.000	81000.000	0.8571
13	Spectrogram 1	1	278.936062000	278.939646000	38000.000	81000.000	0.8571
14	Waveform 1	1	279.010814000	279.016958000	38000.000	81000.000	0.7500
14	Spectrogram 1	1	279.010814000	279.016958000	38000.000	81000.000	0.7500
15	Waveform 1	1	279.096318000	279.099390000	38000.000	81000.000	1.0000
15	Spectrogram 1	1	279.096318000	279.099390000	38000.000	81000.000	1.0000
16	Waveform 1	1	279.170046000	279.172094000	38000.000	81000.000	1.0000
