Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	149.647330729	149.649330729	38000.000	81000.000	0.6667
1	Spectrogram 1	1	149.647330729	149.649330729	38000.000	81000.000	0.6667
2	Waveform 1	1	150.038664063	150.039997396	38000.000	81000.000	1.0000
2	Spectrogram 1	1	150.038664063	150.039997396	38000.000	81000.000	1.0000
3	Waveform 1	1	150.114664062	150.115997396	38000.000	81000.000	1.0000
3	Spectrogram 1	1	150.114664062	150.115997396	38000.000	81000.000	1.0000
4	Waveform 1	1	150.167330729	150.168664062	38000.000	81000.000	1.0000
4	Spectrogram 1	1	150.167330729	150.168664062	38000.000	81000.000	1.0000
5	Waveform 1	1	150.223997396	150.225330729	38000.000	81000.000	1.0000
5	Spectrogram 1	1	150.223997396	150.225330729	38000.000	81000.000	1.0000
6	Waveform 1	1	150.875330729	150.876664062	38000.000	81000.000	1.0000
6	Spectrogram 1	1	150.875330729	150.876664062	38000.000	81000.000	1.0000
7	Waveform 1	1	150.944664062	150.949330729	38000.000	81000.000	0.2857
7	Spectrogram 1	1	150.944664062	150.949330729	38000.000	81000.000	0.2857
8	Waveform 1	1	151.001997396	151.003330729	38000.000	81000.000	1.0000
8	Spectrogram 1	1	151.001997396	151.003330729	38000.000	81000.000	1.0000
9	Waveform 1	1	151.047330729	151.048664062	38000.000	81000.000	1.0000
9	Spectrogram 1	1	151.047330729	151.048664062	38000.000	81000.000	1.0000
10	Waveform 1	1	151.109330729	151.110664063	38000.000	81000.000	1.0000
10	Spectrogram 1	1	151.109330729	151.110664063	38000.000	81000.000	1.0000
11	Waveform 1	1	151.183330729	151.185330729	38000.000	81000.000	1.0000
11	Spectrogram 1	1	151.183330729	151.185330729	38000.000	81000.000	1.0000
12	Waveform 1	1	151.269330729	151.270664063	38000.000	81000.000	1.0000
12	Spectrogram 1	1	151.269330729	151.270664063	38000.000	81000.000	1.0000
13	Waveform 1	1	151.444664062	151.446664062	38000.000	81000.000	0.6667
13	Spectrogram 1	1	151.444664062	151.446664062	38000.000	81000.000	0.6667
14	Waveform 1	1	151.520664063	151.522664062	38000.000	81000.000	1.0000
14	Spectrogram 1	1	151.520664063	151.522664062	38000.000	81000.000	1.0000
15	Waveform 1	1	151.573330729	151.575330729	38000.000	81000.000	1.0000
15	Spectrogram 1	1	151.573330729	151.575330729	38000.000	81000.000	1.0000
16	Waveform 1	1	151.631997396	151.633330729	38000.000	81000.000	1.0000
16	Spectrogram 1	1	151.631997396	151.633330729	38000.000	81000.000	1.0000
17	Waveform 1	1	152.104664063	152.105997396	38000.000	81000.000	1.0000
17	Spectrogram 1	1	152.104664063	152.105997396	38000.000	81000.000	1.0000
18	Waveform 1	1	152.182664062	152.183997396	38000.000	81000.000	1.0000
18	Spectrogram 1	1	152.182664062	152.183997396	38000.000	81000.000	1.0000
19	Waveform 1	1	154.681997396	154.683330729	38000.000	81000.000	1.0000
19	Spectrogram 1	1	154.681997396	154.683330729	38000.000	81000.000	1.0000
20	Waveform 1	1	1054.159997396	1054.161330729	38000.000	81000.000	1.0000
